(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(getValue,GetValue)
(getUnit,GetUnit)
(setValue,SetValue)
(setUnit,SetUnit)
(getLength,GetLength)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(css,css)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(success,ReturnCallback)
(getKey,GetKey)
(setKey,SetKey)
