(getClassLoader,getClassLoader)
(newInstance,newInstance)
(newInstanceSync,newInstanceSync)
(newProxy,newProxy)
(callStaticMethod,callStaticMethod)
(callStaticMethodSync,callStaticMethodSync)
(callMethod,callMethod)
(callMethodSync,callMethodSync)
(findClassSync,findClassSync)
(newArray,newArray)
(newByte,newByte)
(newShort,newShort)
(newLong,newLong)
(newChar,newChar)
(newFloat,newFloat)
(newDouble,newDouble)
(getStaticFieldValue,getStaticFieldValue)
(setStaticFieldValue,setStaticFieldValue)
(instanceOf,instanceOf)
(unref,doUnref)
