(start,start)
(stop,stop)
(getMetrics,getMetrics)
(value,value)
(addHostTag,o)
(status,Number)
(message,String)
(authStatus,Number)
(authMessage,String)
(typeProvisioned,Number)
(metadataFromXtrace,Boolean)
(edge,Boolean)
(doSample,Boolean)
(doMetrics,Boolean)
(source,Number)
(rate,Number)
(tokenBucketRate,Number)
(tokenBucketCapacity,Number)
(setTracingMode,setTracingMode)
(setDefaultSampleRate,setDefaultSampleRate)
(getTraceSettings,getTraceSettings)
(totalCreated,Number)
(totalDestroyed,Number)
(smallActive,Number)
(fullActive,Number)
(totalBytesAllocated,Number)
(totalActive,Number)
(averageLifetime,Number)
(averageSendtime,Number)
(bytesUsed,Number)
(sentCount,Number)
(lifetime,Number)
(sendtime,Number)
(bytesFreed,Number)
(MAX_SAMPLE_RATE,Number)
(MAX_METADATA_PACK_LEN,Number)
(MAX_TASK_ID_LEN,Number)
(MAX_OP_ID_LEN,Number)
(TRACE_NEVER,Number)
(TRACE_ALWAYS,Number)
(oboeInit,oboeInit)
(isReadyToSample,isReadyToSample)
(o,o)
(OBOE_SQLSANITIZE_AUTO,Number)
(OBOE_SQLSANITIZE_DROPDOUBLE,Number)
(OBOE_SQLSANITIZE_KEEPDOUBLE,Number)
(sanitize,sanitize)
(name,String)
(count,Number)
(value,Number)
(addHostTag,Boolean)
(value,value)
(addHostTag,o)
(sendHttpSpan,sendHttpSpan)
(sendNonHttpSpan,sendNonHttpSpan)
(sendMetric,sendMetric)
(sendMetrics,sendMetrics)
(flush,flush)
(getType,getType)
(tracing_mode,Number)
(sample_rate,Number)
(flag_sample_start,Boolean)
(flag_through_always,Boolean)
(reporterInitCount,Number)
(eventQueueFree,Number)
(collectorOk,Number)
(collectorTryLater,Number)
(collectorLimitExceeded,Number)
(getVersionString,getVersionString)
(getSettings,getConfigSettings)
(getStats,getStats)
(init,oboeNotifierInit)
(status,oboeNotifierStatus)
(stop,oboeNotifierStop)
(kKeepAliveIntervalSeconds,Number)
