(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(getManufacturerDataByCompanyId,GetManufacturerDataByCompanyId)
(getSectionsByType,GetSectionsByType)
(dataSections,DataSectionsGetter)
(manufacturerData,ManufacturerDataGetter)
(serviceUuids,ServiceUuidsGetter)
(castFrom,CastFrom)
(advertisingInterval,AdvertisingIntervalGetter)
(appearance,AppearanceGetter)
(completeLocalName,CompleteLocalNameGetter)
(completeService128BitUuids,CompleteService128BitUuidsGetter)
(completeService16BitUuids,CompleteService16BitUuidsGetter)
(completeService32BitUuids,CompleteService32BitUuidsGetter)
(flags,FlagsGetter)
(incompleteService128BitUuids,IncompleteService128BitUuidsGetter)
(incompleteService16BitUuids,IncompleteService16BitUuidsGetter)
(incompleteService32BitUuids,IncompleteService32BitUuidsGetter)
(manufacturerSpecificData,ManufacturerSpecificDataGetter)
(publicTargetAddress,PublicTargetAddressGetter)
(randomTargetAddress,RandomTargetAddressGetter)
(serviceData128BitUuids,ServiceData128BitUuidsGetter)
(serviceData16BitUuids,ServiceData16BitUuidsGetter)
(serviceData32BitUuids,ServiceData32BitUuidsGetter)
(serviceSolicitation128BitUuids,ServiceSolicitation128BitUuidsGetter)
(serviceSolicitation16BitUuids,ServiceSolicitation16BitUuidsGetter)
(serviceSolicitation32BitUuids,ServiceSolicitation32BitUuidsGetter)
(shortenedLocalName,ShortenedLocalNameGetter)
(slaveConnectionIntervalRange,SlaveConnectionIntervalRangeGetter)
(txPowerLevel,TxPowerLevelGetter)
(bytePatterns,BytePatternsGetter)
(start,Start)
(stop,Stop)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(advertisement,AdvertisementGetter)
(status,StatusGetter)
(error,ErrorGetter)
(advertisementType,AdvertisementTypeGetter)
(bluetoothAddress,BluetoothAddressGetter)
(rawSignalStrengthInDBm,RawSignalStrengthInDBmGetter)
(timestamp,TimestampGetter)
(maxOutOfRangeTimeout,MaxOutOfRangeTimeoutGetter)
(maxSamplingInterval,MaxSamplingIntervalGetter)
(minOutOfRangeTimeout,MinOutOfRangeTimeoutGetter)
(minSamplingInterval,MinSamplingIntervalGetter)
