(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(capacity,CapacityGetter)
(castFrom,CastFrom)
(createCopyFromMemoryBuffer,CreateCopyFromMemoryBuffer)
(createMemoryBufferOverIBuffer,CreateMemoryBufferOverIBuffer)
(readByte,ReadByte)
(readBytes,ReadBytes)
(readBuffer,ReadBuffer)
(readBoolean,ReadBoolean)
(readGuid,ReadGuid)
(readInt16,ReadInt16)
(readInt32,ReadInt32)
(readInt64,ReadInt64)
(readUInt16,ReadUInt16)
(readUInt32,ReadUInt32)
(readUInt64,ReadUInt64)
(readSingle,ReadSingle)
(readDouble,ReadDouble)
(readString,ReadString)
(readDateTime,ReadDateTime)
(readTimeSpan,ReadTimeSpan)
(detachBuffer,DetachBuffer)
(detachStream,DetachStream)
(close,Close)
(loadAsync,LoadAsync)
(unconsumedBufferLength,UnconsumedBufferLengthGetter)
(fromBuffer,FromBuffer)
(getResults,GetResults)
(cancel,Cancel)
(errorCode,ErrorCodeGetter)
(id,IdGetter)
(status,StatusGetter)
(writeByte,WriteByte)
(writeBytes,WriteBytes)
(writeBuffer,WriteBuffer)
(writeBoolean,WriteBoolean)
(writeGuid,WriteGuid)
(writeInt16,WriteInt16)
(writeInt32,WriteInt32)
(writeInt64,WriteInt64)
(writeUInt16,WriteUInt16)
(writeUInt32,WriteUInt32)
(writeUInt64,WriteUInt64)
(writeSingle,WriteSingle)
(writeDouble,WriteDouble)
(writeDateTime,WriteDateTime)
(writeTimeSpan,WriteTimeSpan)
(writeString,WriteString)
(measureString,MeasureString)
(storeAsync,StoreAsync)
(flushAsync,FlushAsync)
(unstoredBufferLength,UnstoredBufferLengthGetter)
(readAsync,ReadAsync)
(writeAsync,WriteAsync)
(getInputStreamAt,GetInputStreamAt)
(getOutputStreamAt,GetOutputStreamAt)
(seek,Seek)
(cloneStream,CloneStream)
(canRead,CanReadGetter)
(canWrite,CanWriteGetter)
(position,PositionGetter)
(contentType,ContentTypeGetter)
(openSequentialReadAsync,OpenSequentialReadAsync)
(openReadAsync,OpenReadAsync)
(createFromFile,CreateFromFile)
(createFromUri,CreateFromUri)
(createFromStream,CreateFromStream)
