(setContext,SetContext)
(setQuanta,SetQuanta)
(print,PrintNumber)
(newUnsafe,NewUnsafe)
(newFromBuffer,NewFromBuffer)
(newFromString,NewFromString)
(fromBuffer,FromBuffer)
(fromString,FromString)
(toBuffer,ToBuffer)
(toString,ToString)
(release,Release)
(swap,Swap)
(add,Add)
(sub,Subtract)
(mul,Multiply)
(div,Divide)
(incr,Increment)
(decr,Decrement)
(infl,Inflate)
(defl,Deflate)
(cmp,Compare)
(eq,WithinEqual)
(fma,FusedMultiplyAdd)
(divint,DivideInteger)
(rem,Remainder)
(remNear,RemainderNear)
(divmod,DivideModulo)
(exp,Exponential)
(log,NaturalLogarithm)
(log10,NaturalLogarithm10)
(pow,Power)
(powmod,PowerMod)
(sqrt,SquareRoot)
(invroot,InverseSquareRoot)
(round,Round)
(floor,Floor)
(ceil,Ceiling)
(abs,Absolute)
(max,MaxOfTwo)
(min,MinOfTwo)
(decode,Decode)
(encode,Encode)
(workspaceToStringASCII,WorkspaceToStringASCII)
(workspaceToStringUTF8,WorkspaceToStringUTF8)
(workspaceToStringUTF16,WorkspaceToStringUTF16)
