(describe,describe)
(getSeverity,Logger)
(setSeverity,Logger)
(parameters,parameters)
(featureset,featureset)
(add,add)
(fields,fields)
(toString,toString)
(evaluate,evaluate)
(extent,extent)
(type,type)
(toWKB,toWKB)
(toWKT,toWKT)
(toJSON,toJSON)
(toJSONSync,toJSONSync)
(width,width)
(height,height)
(getData,getData)
(hex,hex)
(getType,getType)
(getPixel,getPixel)
(setPixel,setPixel)
(encodeSync,encodeSync)
(encode,encode)
(view,view)
(saveSync,saveSync)
(save,save)
(setGrayScaleToAlpha,setGrayScaleToAlpha)
(painted,painted)
(composite,composite)
(filter,filter)
(filterSync,filterSync)
(fillSync,fillSync)
(fill,fill)
(premultiplySync,premultiplySync)
(premultiply,premultiply)
(premultiplied,premultiplied)
(demultiplySync,demultiplySync)
(demultiply,demultiply)
(clear,clear)
(clearSync,clearSync)
(compare,compare)
(isSolid,isSolid)
(isSolidSync,isSolidSync)
(copy,copy)
(copySync,copySync)
(resize,resize)
(resizeSync,resizeSync)
(data,data)
(open,Image)
(fromBytes,Image)
(openSync,Image)
(fromBytesSync,Image)
(fromBufferSync,Image)
(fromSVG,Image)
(fromSVGSync,Image)
(fromSVGBytes,Image)
(fromSVGBytesSync,Image)
(render,render)
(setData,setData)
(setDataSync,setDataSync)
(getDataSync,getDataSync)
(addData,addData)
(addDataSync,addDataSync)
(compositeSync,compositeSync)
(query,query)
(queryMany,queryMany)
(bufferedExtent,bufferedExtent)
(names,names)
(layer,layer)
(emptyLayers,emptyLayers)
(paintedLayers,paintedLayers)
(toGeoJSON,toGeoJSON)
(toGeoJSONSync,toGeoJSONSync)
(addGeoJSON,addGeoJSON)
(addImage,addImage)
(addImageSync,addImageSync)
(addImageBuffer,addImageBuffer)
(addImageBufferSync,addImageBufferSync)
(empty,empty)
(info,info)
(toString,ToString)
(toBuffer,ToBuffer)
(forward,forward)
(inverse,inverse)
(backward,backward)
(next,next)
(rgb2hsl,rgb2hsl)
(hsl2rgb,hsl2rgb)
(clearCache,clearCache)
(fonts,fonts)
(fontFiles,fontFiles)
(fontDirectory,fontDirectory)
(loadFonts,loadFonts)
(memoryFonts,memoryFonts)
(registerFonts,registerFonts)
(load,load)
(loadSync,loadSync)
(fromStringSync,fromStringSync)
(fromString,fromString)
(clone,clone)
(toXML,toXML)
(renderSync,renderSync)
(renderFile,renderFile)
(renderFileSync,renderFileSync)
(zoomAll,zoomAll)
(zoomToBox,zoomToBox)
(scale,scale)
(scaleDenominator,scaleDenominator)
(queryPoint,queryPoint)
(queryMapPoint,queryMapPoint)
(add_layer,add_layer)
(get_layer,get_layer)
(layers,layers)
(id,id)
(attributes,attributes)
(geometry,geometry)
(fromJSON,Feature)
(name,layer)
(srs,layer)
(active,layer)
(clear_label_cache,layer)
(minimum_scale_denominator,layer)
(maximum_scale_denominator,layer)
(queryable,layer)
(styles,s)
(datasource,ds)
(1,s)
(layer,item)
(distance,item)
(x_hit,item)
(y_hit,item)
(features,features)
(name,layer_msg)
(extent,layer_msg)
(name,layer_name)
(0,box)
(1,box)
(2,box)
(3,box)
(featureset,Featureset)
