(submit,Transfer_Submit)
(cancel,Transfer_Cancel)
(setDebugLevel,SetDebugLevel)
(getDeviceList,GetDeviceList)
(_enableHotplugEvents,EnableHotplugEvents)
(_disableHotplugEvents,DisableHotplugEvents)
(__getParent,Device_GetParent)
(__getConfigDescriptor,Device_GetConfigDescriptor)
(__getAllConfigDescriptors,Device_GetAllConfigDescriptors)
(__open,Device_Open)
(__close,Device_Close)
(__claimInterface,Device_ClaimInterface)
(__isKernelDriverActive,IsKernelDriverActive)
(__detachKernelDriver,DetachKernelDriver)
(__attachKernelDriver,AttachKernelDriver)
(34,size)
(28,size)
(INIT_ERROR,res)
