(exists,exists)
(isVisible,isVisible)
(isMainWindow,isMainWindow)
(getTitle,getTitle)
(getHwnd,getHwnd)
(getClassName,getClassName)
(getPid,getPid)
(getProcessName,getProcessName)
(getParent,getParent)
(getAncestor,getAncestor)
(getMonitor,getMonitor)
(setForegroundWindow,setForegroundWindow)
(setWindowPos,setWindowPos)
(showWindow,showWindow)
(move,move)
(moveRelative,moveRelative)
(moveToTop,moveToTop)
(screenshot,screenshot)
(dimensions,dimensions)
(GetActiveWindow,Window)
(GetWindowByClassName,Window)
(GetWindowByTitleExact,Window)
(EnumerateWindows,Window)
