(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(deviceId,DeviceIdGetter)
(sensorType,SensorTypeGetter)
(getCurrentReading,GetCurrentReading)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(minimumReportInterval,MinimumReportIntervalGetter)
(maxBatchSize,MaxBatchSizeGetter)
(getDefault,GetDefault)
(accelerationX,AccelerationXGetter)
(accelerationY,AccelerationYGetter)
(accelerationZ,AccelerationZGetter)
(timestamp,TimestampGetter)
(reading,ReadingGetter)
(readingType,ReadingTypeGetter)
(getDefaultForRelativeReadings,GetDefaultForRelativeReadings)
(pitchDegrees,PitchDegreesGetter)
(rollDegrees,RollDegreesGetter)
(yawDegrees,YawDegreesGetter)
(yawAccuracy,YawAccuracyGetter)
(angularVelocityX,AngularVelocityXGetter)
(angularVelocityY,AngularVelocityYGetter)
(angularVelocityZ,AngularVelocityZGetter)
(headingMagneticNorth,HeadingMagneticNorthGetter)
(headingTrueNorth,HeadingTrueNorthGetter)
(headingAccuracy,HeadingAccuracyGetter)
(illuminanceInLux,IlluminanceInLuxGetter)
(m11,M11Getter)
(m12,M12Getter)
(m13,M13Getter)
(m21,M21Getter)
(m22,M22Getter)
(m23,M23Getter)
(m31,M31Getter)
(m32,M32Getter)
(m33,M33Getter)
(w,WGetter)
(x,XGetter)
(y,YGetter)
(z,ZGetter)
(quaternion,QuaternionGetter)
(rotationMatrix,RotationMatrixGetter)
(getCurrentOrientation,GetCurrentOrientation)
(orientation,OrientationGetter)
(directionalAccuracy,DirectionalAccuracyGetter)
(magneticFieldX,MagneticFieldXGetter)
(magneticFieldY,MagneticFieldYGetter)
(magneticFieldZ,MagneticFieldZGetter)
(getCurrentReadingAsync,GetCurrentReadingAsync)
(powerInMilliwatts,PowerInMilliwattsGetter)
(subscribedActivities,SubscribedActivitiesGetter)
(supportedActivities,SupportedActivitiesGetter)
(getDeviceSelector,GetDeviceSelector)
(getDefaultAsync,func)
(fromIdAsync,func)
(getSystemHistoryAsync,func)
(activity,ActivityGetter)
(confidence,ConfidenceGetter)
(readReports,ReadReports)
(stationPressureInHectopascals,StationPressureInHectopascalsGetter)
(cumulativeSteps,CumulativeStepsGetter)
(cumulativeStepsDuration,CumulativeStepsDurationGetter)
(stepKind,StepKindGetter)
(getCurrentReadings,GetCurrentReadings)
(getReadingsFromTriggerDetails,GetReadingsFromTriggerDetails)
(createDisplayOnOffController,CreateDisplayOnOffController)
(maxDistanceInMillimeters,MaxDistanceInMillimetersGetter)
(minDistanceInMillimeters,MinDistanceInMillimetersGetter)
(fromId,FromId)
(distanceInMillimeters,DistanceInMillimetersGetter)
(isDetected,IsDetectedGetter)
(close,Close)
(altitudeChangeInMeters,AltitudeChangeInMetersGetter)
