(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(kind,KindGetter)
(previousExecutionState,PreviousExecutionStateGetter)
(splashScreen,SplashScreenGetter)
(user,UserGetter)
(verb,VerbGetter)
(addAppointmentOperation,AddAppointmentOperationGetter)
(castFrom,CastFrom)
(removeAppointmentOperation,RemoveAppointmentOperationGetter)
(replaceAppointmentOperation,ReplaceAppointmentOperationGetter)
(instanceStartDate,InstanceStartDateGetter)
(localId,LocalIdGetter)
(roamingId,RoamingIdGetter)
(duration,DurationGetter)
(timeToShow,TimeToShowGetter)
(taskInstance,TaskInstanceGetter)
(connectionId,ConnectionIdGetter)
(cachedFileUpdaterUI,CachedFileUpdaterUIGetter)
(videoDeviceController,VideoDeviceControllerGetter)
(videoDeviceExtension,VideoDeviceExtensionGetter)
(operation,OperationGetter)
(getDeferral,GetDeferral)
(arguments,ArgumentsGetter)
(currentDirectoryPath,CurrentDirectoryPathGetter)
(contact,ContactGetter)
(serviceId,ServiceIdGetter)
(serviceUserId,ServiceUserIdGetter)
(address,AddressGetter)
(contactPanel,ContactPanelGetter)
(contactPickerUI,ContactPickerUIGetter)
(currentlyShownApplicationViewId,CurrentlyShownApplicationViewIdGetter)
(deviceInformationId,DeviceInformationIdGetter)
(viewSwitcher,ViewSwitcherGetter)
(deviceInformation,DeviceInformationGetter)
(appName,AppNameGetter)
(tileId,TileIdGetter)
(files,FilesGetter)
(callerPackageFamilyName,CallerPackageFamilyNameGetter)
(neighboringFilesQuery,NeighboringFilesQueryGetter)
(fileOpenPickerUI,FileOpenPickerUIGetter)
(continuationData,ContinuationDataGetter)
(fileSavePickerUI,FileSavePickerUIGetter)
(enterpriseId,EnterpriseIdGetter)
(file,FileGetter)
(folder,FolderGetter)
(tileActivatedInfo,TileActivatedInfoGetter)
(info,InfoGetter)
(callUI,CallUIGetter)
(pickerOperationId,PickerOperationIdGetter)
(prelaunchActivated,PrelaunchActivatedGetter)
(workflow,WorkflowGetter)
(configuration,ConfigurationGetter)
(uri,UriGetter)
(data,DataGetter)
(protocolForResultsOperation,ProtocolForResultsOperationGetter)
(sharedContext,SharedContextGetter)
(language,LanguageGetter)
(queryText,QueryTextGetter)
(linguisticDetails,LinguisticDetailsGetter)
(shareOperation,ShareOperationGetter)
(taskId,TaskIdGetter)
(argument,ArgumentGetter)
(userInput,UserInputGetter)
(result,ResultGetter)
(actionId,ActionIdGetter)
(actionKind,ActionKindGetter)
(itemId,ItemIdGetter)
(webAuthenticationResult,WebAuthenticationResultGetter)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(imageLocation,ImageLocationGetter)
(recentlyShownNotifications,RecentlyShownNotificationsGetter)
