(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(acceptedMedia,AcceptedMediaGetter)
(castFrom,CastFrom)
(rejectReason,RejectReasonGetter)
(state,StateGetter)
(complete,Complete)
(getDeferral,GetDeferral)
(deadline,DeadlineGetter)
(dismiss,Dismiss)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(muted,MutedGetter)
(id,IdGetter)
(sourceDisplayName,SourceDisplayNameGetter)
(sourceIds,SourceIdsGetter)
(readBatchAsync,ReadBatchAsync)
(getForUser,GetForUser)
(requestStoreAsync,RequestStoreAsync)
(user,UserGetter)
(getEntryReader,GetEntryReader)
(getEntryAsync,GetEntryAsync)
(saveEntryAsync,SaveEntryAsync)
(deleteEntryAsync,DeleteEntryAsync)
(deleteEntriesAsync,DeleteEntriesAsync)
(markEntryAsSeenAsync,MarkEntryAsSeenAsync)
(markEntriesAsSeenAsync,MarkEntriesAsSeenAsync)
(getUnseenCountAsync,GetUnseenCountAsync)
(markAllAsSeenAsync,MarkAllAsSeenAsync)
(getSourcesUnseenCountAsync,GetSourcesUnseenCountAsync)
(markSourcesAsSeenAsync,MarkSourcesAsSeenAsync)
(showPhoneCallSettingsUI,ShowPhoneCallSettingsUI)
(showPhoneCallUI,ShowPhoneCallUI)
(isCallActive,IsCallActiveGetter)
(isCallIncoming,IsCallIncomingGetter)
(requestLineWatcher,RequestLineWatcher)
(isEmergencyPhoneNumberAsync,IsEmergencyPhoneNumberAsync)
(getDefaultLineAsync,GetDefaultLineAsync)
(isVideoCallingCapable,IsVideoCallingCapableGetter)
(dial,Dial)
(dialWithOptions,DialWithOptions)
(enableTextReply,EnableTextReply)
(isImmediateDialNumberAsync,IsImmediateDialNumberAsync)
(canDial,CanDialGetter)
(cellularDetails,CellularDetailsGetter)
(displayColor,DisplayColorGetter)
(displayName,DisplayNameGetter)
(lineConfiguration,LineConfigurationGetter)
(networkName,NetworkNameGetter)
(networkState,NetworkStateGetter)
(supportsTile,SupportsTileGetter)
(transport,TransportGetter)
(videoCallingCapabilities,VideoCallingCapabilitiesGetter)
(voicemail,VoicemailGetter)
(transportDeviceId,TransportDeviceIdGetter)
(getNetworkOperatorDisplayText,GetNetworkOperatorDisplayText)
(isModemOn,IsModemOnGetter)
(registrationRejectCode,RegistrationRejectCodeGetter)
(simSlotIndex,SimSlotIndexGetter)
(simState,SimStateGetter)
(extendedProperties,ExtendedPropertiesGetter)
(isVideoCallingEnabled,IsVideoCallingEnabledGetter)
(registerApp,RegisterApp)
(registerAppForUser,RegisterAppForUser)
(unregisterApp,UnregisterApp)
(unregisterAppForUser,UnregisterAppForUser)
(isRegistered,IsRegistered)
(connect,Connect)
(requestAccessAsync,RequestAccessAsync)
(connectAsync,ConnectAsync)
(deviceId,DeviceIdGetter)
(fromId,FromId)
(getDeviceSelector,GetDeviceSelector)
(start,Start)
(stop,Stop)
(status,StatusGetter)
(lineId,LineIdGetter)
(dialVoicemailAsync,DialVoicemailAsync)
(messageCount,MessageCountGetter)
(number,NumberGetter)
(type,TypeGetter)
(requestNewIncomingCall,RequestNewIncomingCall)
(requestNewOutgoingCall,RequestNewOutgoingCall)
(notifyMuted,NotifyMuted)
(notifyUnmuted,NotifyUnmuted)
(requestOutgoingUpgradeToVideoCall,RequestOutgoingUpgradeToVideoCall)
(requestIncomingUpgradeToVideoCall,RequestIncomingUpgradeToVideoCall)
(terminateCellularCall,TerminateCellularCall)
(cancelUpgrade,CancelUpgrade)
(setupNewAcceptedCall,SetupNewAcceptedCall)
(requestNewAppInitiatedCall,RequestNewAppInitiatedCall)
(reserveCallResourcesAsync,ReserveCallResourcesAsync)
(getDefault,GetDefault)
(notifyCallHeld,NotifyCallHeld)
(notifyCallActive,NotifyCallActive)
(notifyCallEnded,NotifyCallEnded)
(notifyCallReady,NotifyCallReady)
(tryShowAppUI,TryShowAppUI)
(notifyCallAccepted,NotifyCallAccepted)
