(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(percentComplete,value)
(major,value)
(minor,value)
(build,value)
(revision,value)
(getLogo,GetLogo)
(description,DescriptionGetter)
(displayName,DisplayNameGetter)
(castFrom,CastFrom)
(appUserModelId,AppUserModelIdGetter)
(displayInfo,DisplayInfoGetter)
(id,IdGetter)
(packageFamilyName,PackageFamilyNameGetter)
(package,PackageGetter)
(getFromAppUserModelId,GetFromAppUserModelId)
(getFromAppUserModelIdForUser,GetFromAppUserModelIdForUser)
(uri,UriGetter)
(redirectActivationTo,RedirectActivationTo)
(isCurrentInstance,IsCurrentInstanceGetter)
(getActivatedEventArgs,GetActivatedEventArgs)
(findOrRegisterInstanceForKey,FindOrRegisterInstanceForKey)
(unregister,Unregister)
(getInstances,GetInstances)
(recommendedInstance,RecommendedInstanceGetter)
(showInstalledApplicationsUI,ShowInstalledApplicationsUI)
(designModeEnabled,DesignModeEnabledGetter)
(designMode2Enabled,DesignMode2EnabledGetter)
(getDeferral,GetDeferral)
(complete,Complete)
(suspendingOperation,SuspendingOperationGetter)
(deadline,DeadlineGetter)
(estimatedRemovalDate,EstimatedRemovalDateGetter)
(featureId,FeatureIdGetter)
(status,StatusGetter)
(tryUnlockFeature,TryUnlockFeature)
(getThumbnailToken,GetThumbnailToken)
(launch,Launch)
(getAppInstallerInfo,GetAppInstallerInfo)
(getLogoAsRandomAccessStreamReference,GetLogoAsRandomAccessStreamReference)
(getAppListEntries,GetAppListEntries)
(getAppListEntriesAsync,GetAppListEntriesAsync)
(verifyContentIntegrityAsync,VerifyContentIntegrityAsync)
(getContentGroupsAsync,GetContentGroupsAsync)
(getContentGroupAsync,GetContentGroupAsync)
(stageContentGroupsAsync,StageContentGroupsAsync)
(setInUseAsync,SetInUseAsync)
(checkUpdateAvailabilityAsync,CheckUpdateAvailabilityAsync)
(dependencies,DependenciesGetter)
(installedLocation,InstalledLocationGetter)
(isFramework,IsFrameworkGetter)
(isBundle,IsBundleGetter)
(isDevelopmentMode,IsDevelopmentModeGetter)
(isResourcePackage,IsResourcePackageGetter)
(logo,LogoGetter)
(publisherDisplayName,PublisherDisplayNameGetter)
(installedDate,InstalledDateGetter)
(isOptional,IsOptionalGetter)
(signatureKind,SignatureKindGetter)
(effectiveLocation,EffectiveLocationGetter)
(mutableLocation,MutableLocationGetter)
(effectiveExternalLocation,EffectiveExternalLocationGetter)
(effectiveExternalPath,EffectiveExternalPathGetter)
(effectivePath,EffectivePathGetter)
(installedPath,InstalledPathGetter)
(isStub,IsStubGetter)
(machineExternalLocation,MachineExternalLocationGetter)
(machineExternalPath,MachineExternalPathGetter)
(mutablePath,MutablePathGetter)
(userExternalLocation,UserExternalLocationGetter)
(userExternalPath,UserExternalPathGetter)
(installDate,InstallDateGetter)
(addOptionalPackageAsync,AddOptionalPackageAsync)
(removeOptionalPackagesAsync,RemoveOptionalPackagesAsync)
(addResourcePackageAsync,AddResourcePackageAsync)
(removeResourcePackagesAsync,RemoveResourcePackagesAsync)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(openForCurrentPackage,OpenForCurrentPackage)
(openForCurrentUser,OpenForCurrentUser)
(extendedError,ExtendedErrorGetter)
(isComplete,IsCompleteGetter)
(packagesRemoved,PackagesRemovedGetter)
(isRequired,IsRequiredGetter)
(name,NameGetter)
(state,StateGetter)
(requiredGroupName,RequiredGroupNameGetter)
(activityId,ActivityIdGetter)
(contentGroupName,ContentGroupNameGetter)
(errorCode,ErrorCodeGetter)
(isContentGroupRequired,IsContentGroupRequiredGetter)
(progress,ProgressGetter)
(architecture,ArchitectureGetter)
(familyName,FamilyNameGetter)
(fullName,FullNameGetter)
(publisher,PublisherGetter)
(publisherId,PublisherIdGetter)
(resourceId,ResourceIdGetter)
(version,VersionGetter)
(author,AuthorGetter)
(productId,ProductIdGetter)
(verifyIsOK,VerifyIsOK)
(dataOffline,DataOfflineGetter)
(dependencyIssue,DependencyIssueGetter)
(deploymentInProgress,DeploymentInProgressGetter)
(disabled,DisabledGetter)
(licenseIssue,LicenseIssueGetter)
(modified,ModifiedGetter)
(needsRemediation,NeedsRemediationGetter)
(notAvailable,NotAvailableGetter)
(packageOffline,PackageOfflineGetter)
(servicing,ServicingGetter)
(tampered,TamperedGetter)
(isPartiallyStaged,IsPartiallyStagedGetter)
(availability,AvailabilityGetter)
(sourcePackage,SourcePackageGetter)
(targetPackage,TargetPackageGetter)
(disable,Disable)
(requestEnableAsync,RequestEnableAsync)
(taskId,TaskIdGetter)
