(getLibVersion,getLibVersion)
(isHDF5,isHDF5)
(enableSingleWriteMultiRead,EnableSingleWriteMultiRead)
(createGroup,CreateGroup)
(openGroup,OpenGroup)
(getNumAttrs,GetNumAttrs)
(getAttributeNames,getAttributeNames)
(readAttribute,readAttribute)
(deleteAttribute,deleteAttribute)
(refresh,Refresh)
(move,Move)
(delete,Delete)
(flush,Flush)
(close,Close)
(setAttribute,SetAttribute)
(getNumObjs,GetNumObjs)
(getMemberNames,GetMemberNames)
(getMemberNamesByCreationOrder,GetMemberNamesByCreationOrder)
(getChildType,GetChildType)
(getDatasetType,getDatasetType)
(getDatasetDimensions,getDatasetDimensions)
(getDataType,getDataType)
(getDatasetAttributes,getDatasetAttributes)
(getDatasetAttribute,getDatasetAttribute)
(getByteOrder,getByteOrder)
(getFilters,getFilters)
(iterate,iterate)
(visit,visit)
(isAvailable,isAvailable)
(getNFilters,getNFilters)
(getFilter,getFilter)
(create,Create)
(open,Open)
(copy,Copy)
(link,Link)
(next,next)
(append,append)
(close,close)
(dereference,dereference)
(getRegion,getRegion)
(getName,getName)
(toString,toString)
(setAttribute,SetAttribute)
(size,Number)
(freeSpace,Number)
(objectCount,Number)
(type,Int32)
(rank,Number)
(endian,Number)
(rows,Number)
(columns,Number)
(sections,Number)
(files,Number)
(nrecords,Uint32)
(nfields,Uint32)
(width,Number)
(height,Number)
(planes,Number)
(npals,Number)
