(enableThreadSafety,LockMasterEnable)
(setThreadSafetyStatus,LockMasterSetStatus)
(getThreadSafetyStatus,LockMasterGetStatus)
(getThreadSafetyDiagnostics,LockMasterGetDiagnostics)
(getSelfFreeingInstanceCount,GetSelfFreeingInstanceCount)
(getNonSelfFreeingConstructedCount,GetNonSelfFreeingConstructedCount)
(data,Data)
(id,Id)
(size,Size)
(type,Type)
(hash,Hash)
(insert,Insert)
(insertCommit,InsertCommit)
(insertRecur,InsertRecur)
(insertTree,InsertTree)
(insertWalk,InsertWalk)
(create,Create)
(objectCount,ObjectCount)
(setThreads,SetThreads)
(written,Written)
(errno,baton)
(totalObjects,TotalObjects)
(indexedObjects,IndexedObjects)
(receivedObjects,ReceivedObjects)
(localObjects,LocalObjects)
(totalDeltas,TotalDeltas)
(indexedDeltas,IndexedDeltas)
(receivedBytes,ReceivedBytes)
(register,GitFilterRegister)
(unregister,GitFilterUnregister)
(committer,Committer)
(idNew,IdNew)
(idOld,IdOld)
(message,Message)
(commit,Commit)
(lockRef,LockRef)
(remove,Remove)
(setReflog,SetReflog)
(setSymbolicTarget,SetSymbolicTarget)
(setTarget,SetTarget)
(compare,Compare)
(createFromFile,CreateFromfile)
(head,Head)
(index,Index)
(tree,Tree)
(ids,Ids)
(count,Count)
(blobToBuffer,BlobToBuffer)
(findSimilar,FindSimilar)
(fromBuffer,FromBuffer)
(getDelta,GetDelta)
(getStats,GetStats)
(indexToIndex,IndexToIndex)
(indexToWorkdir,IndexToWorkdir)
(isSortedIcase,IsSortedIcase)
(merge,Merge)
(numDeltas,NumDeltas)
(patchid,Patchid)
(toBuf,ToBuf)
(treeToIndex,TreeToIndex)
(treeToTree,TreeToTree)
(treeToWorkdir,TreeToWorkdir)
(treeToWorkdirWithIndex,TreeToWorkdirWithIndex)
(getPerfdata,GetPerfdata)
(direction,Direction)
(dst,Dst)
(dstMatches,DstMatches)
(force,Force)
(parse,Parse)
(src,Src)
(srcMatches,SrcMatches)
(string,String)
(annotationCreate,AnnotationCreate)
(createFromBuffer,CreateFromBuffer)
(createLightweight,CreateLightweight)
(delete,Delete)
(dup,Dup)
(list,List)
(listMatch,ListMatch)
(lookup,Lookup)
(lookupPrefix,LookupPrefix)
(name,Name)
(owner,Owner)
(peel,Peel)
(tagger,Tagger)
(target,Target)
(targetId,TargetId)
(targetType,TargetType)
(default,Default)
(now,Now)
(email,Email)
(when,When)
(mkdirCalls,MkdirCalls)
(statCalls,StatCalls)
(chmodCalls,ChmodCalls)
(createGlob,GlobNew)
(createMultivar,GitConfigMultivarIteratorNew)
(next,GitConfigNext)
(defaultNew,DefaultNew)
(getUsername,GetUsername)
(hasUsername,HasUsername)
(sshKeyFromAgent,SshKeyFromAgent)
(sshKeyMemoryNew,SshKeyMemoryNew)
(sshKeyNew,SshKeyNew)
(usernameNew,UsernameNew)
(userpassPlaintextNew,UserpassPlaintextNew)
(applyToBlob,ApplyToBlob)
(applyToData,ApplyToData)
(applyToFile,ApplyToFile)
(load,Load)
(filemode,Filemode)
(filemodeRaw,FilemodeRaw)
(toObject,ToObject)
(diffEntry,DiffEntry)
(entry,Entry)
(entrycount,Entrycount)
(failedEntry,FailedEntry)
(failedEntrycount,FailedEntrycount)
(version,Version)
(flags,Flags)
(createFromAnnotated,CreateFromAnnotated)
(isCheckedOut,IsCheckedOut)
(isHead,IsHead)
(move,Move)
(remoteName,RemoteName)
(setUpstream,SetUpstream)
(upstream,Upstream)
(upstreamName,UpstreamName)
(upstreamRemote,UpstreamRemote)
(abort,Abort)
(finish,Finish)
(init,Init)
(inmemoryIndex,InmemoryIndex)
(next,Next)
(ontoId,OntoId)
(ontoName,OntoName)
(open,Open)
(operationByIndex,OperationByindex)
(operationCurrent,OperationCurrent)
(operationEntrycount,OperationEntrycount)
(origHeadId,OrigHeadId)
(origHeadName,OrigHeadName)
(createFromDisk,CreateFromDisk)
(createFromWorkdir,CreateFromWorkdir)
(filter,Filter)
(filteredContent,FilteredContent)
(isBinary,IsBinary)
(rawcontent,Rawcontent)
(rawsize,Rawsize)
(path,Path)
(mode,Mode)
(idAbbrev,IdAbbrev)
(filesChanged,FilesChanged)
(insertions,Insertions)
(deletions,Deletions)
(toBuf,DiffStatsToBuf)
(addMacro,AddMacro)
(cacheFlush,CacheFlush)
(get,Get)
(getMany,GetMany)
(value,Value)
(oldStart,OldStart)
(oldLines,OldLines)
(newStart,NewStart)
(newLines,NewLines)
(headerLen,HeaderLen)
(header,Header)
(hunks,Hunks)
(lineStats,LineStats)
(oldFile,OldFile)
(newFile,NewFile)
(status,Status)
(isUnmodified,IsUnmodified)
(isAdded,IsAdded)
(isDeleted,IsDeleted)
(isModified,IsModified)
(isRenamed,IsRenamed)
(isCopied,IsCopied)
(isIgnored,IsIgnored)
(isUntracked,IsUntracked)
(isTypeChange,IsTypeChange)
(isUnreadable,IsUnreadable)
(isConflicted,IsConflicted)
(cmp,Cmp)
(createMatching,CreateMatching)
(dwim,Dwim)
(ensureLog,EnsureLog)
(hasLog,HasLog)
(isBranch,IsBranch)
(isNote,IsNote)
(isRemote,IsRemote)
(isTag,IsTag)
(isValidName,IsValidName)
(nameToId,NameToId)
(normalizeName,NormalizeName)
(rename,Rename)
(resolve,Resolve)
(shorthand,Shorthand)
(symbolicCreate,SymbolicCreate)
(symbolicCreateMatching,SymbolicCreateMatching)
(symbolicSetTarget,SymbolicSetTarget)
(symbolicTarget,SymbolicTarget)
(targetPeel,TargetPeel)
(commondir,Commondir)
(config,Config)
(detachHead,DetachHead)
(discover,Discover)
(fetchheadForeach,FetchheadForeach)
(getNamespace,GetNamespace)
(headDetached,HeadDetached)
(headDetachedForWorktree,HeadDetachedForWorktree)
(headForWorktree,HeadForWorktree)
(headUnborn,HeadUnborn)
(ident,Ident)
(initExt,InitExt)
(isBare,IsBare)
(isEmpty,IsEmpty)
(isShallow,IsShallow)
(isWorktree,IsWorktree)
(itemPath,ItemPath)
(mergeheadForeach,MergeheadForeach)
(messageRemove,MessageRemove)
(odb,Odb)
(openBare,OpenBare)
(openExt,OpenExt)
(openFromWorktree,OpenFromWorktree)
(refdb,Refdb)
(setHead,SetHead)
(setHeadDetached,SetHeadDetached)
(setHeadDetachedFromAnnotated,SetHeadDetachedFromAnnotated)
(setIdent,SetIdent)
(setNamespace,SetNamespace)
(setWorkdir,SetWorkdir)
(state,State)
(stateCleanup,StateCleanup)
(workdir,Workdir)
(wrapOdb,WrapOdb)
(cleanup,Cleanup)
(getReferences,GetReferences)
(getSubmodules,GetSubmodules)
(getRemotes,GetRemotes)
(refreshReferences,RefreshReferences)
(setIndex,SetIndex)
(submoduleCacheAll,SubmoduleCacheAll)
(submoduleCacheClear,SubmoduleCacheClear)
(aheadBehind,AheadBehind)
(descendantOf,DescendantOf)
(origin,Origin)
(oldLineno,OldLineno)
(newLineno,NewLineno)
(numLines,NumLines)
(contentLen,ContentLen)
(contentOffset,ContentOffset)
(content,Content)
(cherrypick,Cherrypick)
(addEntry,AddEntry)
(fromRepository,FromRepository)
(resolveSignature,ResolveSignature)
(addRule,AddRule)
(clearInternalRules,ClearInternalRules)
(pathIsIgnored,PathIsIgnored)
(clone,Clone)
(headToIndex,HeadToIndex)
(parent,Parent)
(len,Len)
(apply,Apply)
(drop,Drop)
(foreach,Foreach)
(pop,Pop)
(save,Save)
(features,Features)
(opts,Opts)
(shutdown,Shutdown)
(fromBlobs,FromBlobs)
(fromDiff,FromDiff)
(getHunk,GetHunk)
(getLineInHunk,GetLineInHunk)
(numHunks,NumHunks)
(numLinesInHunk,NumLinesInHunk)
(convenientFromDiff,ConvenientFromDiff)
(hide,Hide)
(hideGlob,HideGlob)
(hideHead,HideHead)
(hideRef,HideRef)
(push,Push)
(pushGlob,PushGlob)
(pushHead,PushHead)
(pushRange,PushRange)
(pushRef,PushRef)
(repository,Repository)
(reset,Reset)
(simplifyFirstParent,SimplifyFirstParent)
(sorting,Sorting)
(commitWalk,CommitWalk)
(fastWalk,FastWalk)
(fileHistoryWalk,FileHistoryWalk)
(name,signature)
(email,signature)
(date,signature)
(signature,signature)
(commit,GitCommit)
(reachedEndOfHistory,baton)
(add,Add)
(clear,Clear)
(entryCount,Entrycount)
(getByIndex,GetByIndex)
(ancestor,Ancestor)
