(getPrinters,getPrinters)
(getDefaultPrinterName,getDefaultPrinterName)
(getPrinter,getPrinter)
(getPrinterDriverOptions,getPrinterDriverOptions)
(getJob,getJob)
(setJob,setJob)
(printDirect,PrintDirect)
(printFile,PrintFile)
(getSupportedPrintFormats,getSupportedPrintFormats)
(getSupportedJobCommands,getSupportedJobCommands)
(id,job)
(name,job)
(printerName,job)
(user,job)
(format,job_format)
(priority,job)
(size,job)
(name,printer)
(isDefault,printer)
(instance,printer)
(name,isolate)
(printerName,isolate)
(user,isolate)
(format,isolate)
(machineName,isolate)
(document,isolate)
(notifyName,isolate)
(printProcessor,isolate)
(parameters,isolate)
(driverName,isolate)
(position,job)
(startTime,job)
(untilTime,job)
(totalPages,job)
(time,job)
(pagesPrinted,job)
(error,error_str)
(serverName,isolate)
(shareName,isolate)
(portName,isolate)
(comment,isolate)
(location,isolate)
(sepFile,isolate)
(datatype,isolate)
(statusNumber,printer)
(priority,printer)
(defaultPriority,printer)
(averagePPM,printer)
(startTime,printer)
(untilTime,printer)
