(watch,watch)
(adjustExternalMemory,adjustExternalMemory)
(newCallVM,newCallVM)
(free,free)
(mode,mode)
(reset,reset)
(setVM,setVM)
(setVMAndReset,setVMAndReset)
(argBool,argBool)
(argChar,argChar)
(argShort,argShort)
(argInt,argInt)
(argLong,argLong)
(argLongLong,argLongLong)
(argFloat,argFloat)
(argDouble,argDouble)
(argPointer,argPointer)
(argInt8,argInt8)
(argUInt8,argUInt8)
(argInt16,argInt16)
(argUInt16,argUInt16)
(argInt32,argInt32)
(argUInt32,argUInt32)
(argInt64,argInt64)
(argUInt64,argUInt64)
(argByte,argByte)
(argUChar,argUChar)
(argUShort,argUShort)
(argUInt,argUInt)
(argULong,argULong)
(argULongLong,argULongLong)
(argSizeT,argSizeT)
(callVoid,callVoid)
(callBool,callBool)
(callChar,callChar)
(callShort,callShort)
(callInt,callInt)
(callLong,callLong)
(callLongLong,callLongLong)
(callFloat,callFloat)
(callDouble,callDouble)
(callPointer,callPointer)
(callInt8,callInt8)
(callInt16,callInt16)
(callInt32,callInt32)
(callInt64,callInt64)
(callUInt8,callUInt8)
(callUInt16,callUInt16)
(callUInt32,callUInt32)
(callUInt64,callUInt64)
(callByte,callByte)
(callUChar,callUChar)
(callUShort,callUShort)
(callUInt,callUInt)
(callULong,callULong)
(callULongLong,callULongLong)
(callSizeT,callSizeT)
(callVoidAsync,callVoidAsync)
(callBoolAsync,callBoolAsync)
(callCharAsync,callCharAsync)
(callShortAsync,callShortAsync)
(callIntAsync,callIntAsync)
(callLongAsync,callLongAsync)
(callLongLongAsync,callLongLongAsync)
(callFloatAsync,callFloatAsync)
(callDoubleAsync,callDoubleAsync)
(callPointerAsync,callPointerAsync)
(callInt8Async,callInt8Async)
(callInt16Async,callInt16Async)
(callInt32Async,callInt32Async)
(callInt64Async,callInt64Async)
(callUInt8Async,callUInt8Async)
(callUInt16Async,callUInt16Async)
(callUInt32Async,callUInt32Async)
(callUInt64Async,callUInt64Async)
(callByteAsync,callByteAsync)
(callUCharAsync,callUCharAsync)
(callUShortAsync,callUShortAsync)
(callUIntAsync,callUIntAsync)
(callULongAsync,callULongAsync)
(callULongLongAsync,callULongLongAsync)
(callSizeTAsync,callSizeTAsync)
(loadLibrary,loadLibrary)
(freeLibrary,freeLibrary)
(findSymbol,findSymbol)
(arrayAbs,ArrayAbs)
(callback,callback)
(newLoop,newLoop)
(freeLoop,freeLoop)
(makePtr,makePtr)
(setBool,setBool)
(setChar,setChar)
(setShort,setShort)
(setInt,setInt)
(setLong,setLong)
(setLongLong,setLongLong)
(setFloat,setFloat)
(setDouble,setDouble)
(setPointer,setPointer)
(setInt8,setInt8)
(setInt16,setInt16)
(setInt32,setInt32)
(setInt64,setInt64)
(setUInt8,setUInt8)
(setUInt16,setUInt16)
(setUInt32,setUInt32)
(setUInt64,setUInt64)
(setByte,setByte)
(setUChar,setUChar)
(setUShort,setUShort)
(setUInt,setUInt)
(setULong,setULong)
(setULongLong,setULongLong)
(setSizeT,setSizeT)
(newMutex,newMutex)
(lock,lock)
(unlock,unlock)
(address,Address)
(hexAddress,HexAddress)
(isNull,IsNull)
(readObject,ReadObject)
(writeObject,WriteObject)
(readPointer,ReadPointer)
(writePointer,WritePointer)
(readInt64,ReadInt64)
(writeInt64,WriteInt64)
(readUInt64,ReadUInt64)
(writeUInt64,WriteUInt64)
(readCString,ReadCString)
(reinterpret,ReinterpretBuffer)
(reinterpretUntilZeros,ReinterpretBufferUntilZeros)
(makeStringBuffer,makeStringBuffer)
