(destroy,Destroy)
(stream,Stream)
(format,Format)
(fps,Fps)
(index,Index)
(uniqueID,UniqueID)
(isDefault,IsDefault)
(isVideoProfile,IsVideoProfile)
(isMotionProfile,IsMotionProfile)
(width,Width)
(height,Height)
(getExtrinsicsTo,GetExtrinsicsTo)
(getVideoStreamIntrinsics,GetVideoStreamIntrinsics)
(getMotionIntrinsics,GetMotionIntrinsics)
(getStreamProfile,GetStreamProfile)
(getData,GetData)
(writeData,WriteData)
(getWidth,GetWidth)
(getHeight,GetHeight)
(getStrideInBytes,GetStrideInBytes)
(getBitsPerPixel,GetBitsPerPixel)
(getTimestamp,GetTimestamp)
(getTimestampDomain,GetTimestampDomain)
(getFrameNumber,GetFrameNumber)
(getFrameMetadata,GetFrameMetadata)
(supportsFrameMetadata,SupportsFrameMetadata)
(isVideoFrame,IsVideoFrame)
(isDepthFrame,IsDepthFrame)
(isDisparityFrame,IsDisparityFrame)
(isMotionFrame,IsMotionFrame)
(isPoseFrame,IsPoseFrame)
(canGetPoints,CanGetPoints)
(getVertices,GetVertices)
(getVerticesBufferLen,GetVerticesBufferLen)
(getTexCoordBufferLen,GetTexCoordBufferLen)
(writeVertices,WriteVertices)
(getTextureCoordinates,GetTextureCoordinates)
(writeTextureCoordinates,WriteTextureCoordinates)
(getPointsCount,GetPointsCount)
(exportToPly,ExportToPly)
(isValid,IsValid)
(getDistance,GetDistance)
(getBaseLine,GetBaseLine)
(keep,Keep)
(getMotionData,GetMotionData)
(getPoseData,GetPoseData)
(create,Create)
(waitForFrame,WaitForFrame)
(pollForFrame,PollForFrame)
(enqueueFrame,EnqueueFrame)
(getSize,GetSize)
(getFrame,GetFrame)
(replaceFrame,ReplaceFrame)
(indexToStream,IndexToStream)
(indexToStreamIndex,IndexToStreamIndex)
(waitForFrames,WaitForFrames)
(pollForFrames,PollForFrames)
(openStream,OpenStream)
(openMultipleStream,OpenMultipleStream)
(getCameraInfo,GetCameraInfo)
(startWithSyncer,StartWithSyncer)
(startWithCallback,StartWithCallback)
(supportsOption,SupportsOption)
(getOption,GetOption)
(setOption,SetOption)
(getOptionRange,GetOptionRange)
(isOptionReadonly,IsOptionReadonly)
(getOptionDescription,GetOptionDescription)
(getOptionValueDescription,GetOptionValueDescription)
(stop,Stop)
(supportsCameraInfo,SupportsCameraInfo)
(getStreamProfiles,GetStreamProfiles)
(close,Close)
(setNotificationCallback,SetNotificationCallback)
(setRegionOfInterest,SetRegionOfInterest)
(getRegionOfInterest,GetRegionOfInterest)
(getDepthScale,GetDepthScale)
(isROISensor,IsROISensor)
(is,Is)
(reset,Reset)
(querySensors,QuerySensors)
(triggerErrorForTest,TriggerErrorForTest)
(spawnRecorderDevice,SpawnRecorderDevice)
(pauseRecord,PauseRecord)
(resumeRecord,ResumeRecord)
(getFileName,GetFileName)
(pausePlayback,PausePlayback)
(resumePlayback,ResumePlayback)
(stopPlayback,StopPlayback)
(getPosition,GetPosition)
(getDuration,GetDuration)
(seek,Seek)
(isRealTime,IsRealTime)
(setIsRealTime,SetIsRealTime)
(setPlaybackSpeed,SetPlaybackSpeed)
(getCurrentStatus,GetCurrentStatus)
(setStatusChangedCallbackMethodName,SetStatusChangedCallbackMethodName)
(isTm2,IsTm2)
(isPlayback,IsPlayback)
(isRecorder,IsRecorder)
(enableLoopback,EnableLoopback)
(disableLoopback,DisableLoopback)
(isLoopbackEnabled,IsLoopbackEnabled)
(calculate,Calculate)
(mapTo,MapTo)
(contains,Contains)
(size,Size)
(getDevice,GetDevice)
(queryDevices,QueryDevices)
(setDevicesChangedCallback,SetDevicesChangedCallback)
(loadDeviceFile,LoadDeviceFile)
(unloadDeviceFile,UnloadDeviceFile)
(createDeviceFromSensor,CreateDeviceFromSensor)
(waitForDevice,WaitForDevice)
(isConnected,IsConnected)
(getStreams,GetStreams)
(enableStream,EnableStream)
(enableAllStreams,EnableAllStreams)
(enableDevice,EnableDevice)
(enableDeviceFromFile,EnableDeviceFromFile)
(enableRecordToFile,EnableRecordToFile)
(disableStream,DisableStream)
(disableAllStreams,DisableAllStreams)
(resolve,Resolve)
(canResolve,CanResolve)
(enableDeviceFromFileRepeatOption,EnableDeviceFromFileRepeatOption)
(start,Start)
(startWithConfig,StartWithConfig)
(getActiveProfile,GetActiveProfile)
(colorize,Colorize)
(process,Process)
(globalCleanup,GlobalCleanup)
(getTime,GetTime)
(registerErrorCallback,RegisterErrorCallback)
(getError,GetError)
