(status,Number)
(error,String)
(log,String)
(tzaToText,NapiActionsToText)
(tzaFromText,NapiActionsFromText)
(tzaToJson,NapiActionsToJson)
(tzaFromJson,NapiActionsFromJson)
(backupToText,NapiBackupToText)
(backupFromText,NapiBackupFromText)
(batteryInfoToText,NapiBatteryInfoToText)
(batteryInfoFromText,NapiBatteryInfoFromText)
(tzsToText,NapiSettingsToText)
(tzsFromText,NapiSettingsFromText)
(tzsToJson,NapiSettingsToJson)
(tzsFromJson,NapiSettingsFromJson)
(tzsMetaJson,NapiSettingsMetaJson)
(tzsDefaultJson,NapiSettingsDefaultJson)
(tzeToText,NapiEventToText)
(tzeFromJson,NapiEventFromJson)
(tzeToJson,NapiEventToJson)
(tzeFinder,NapiEventFinder)
(tzrToText,NapiIntervalToText)
(tzrFromJson,NapiIntervalFromJson)
(tzrToJson,NapiIntervalToJson)
(tzrFinder,NapiIntervalFinder)
(tzgToJson,NapiAccelToJson)
(tzgFromJson,NapiAccelFromJson)
(scpToText,NapiScpToText)
(scpFromJson,NapiScpFromJson)
(scpToJson,NapiScpToJson)
(ejectDrive,NapiEjectDrive)
(parseQueue,NapiParseQueue)
