(_import,Import)
(destory,Destory)
(setShape,SetShape)
(getShape,GetShape)
(getNumOfDims,GetNumOfDims)
(getGraphDef,GetGraphDef)
(_getAllOpList,Graph)
(name,NameGetter)
(type,TypeGetter)
(device,DeviceGetter)
(outputs,OutputsGetter)
(setAttrType,SetAttrType)
(SetAttrBool,SetAttrBool)
(SetAttrInt,SetAttrInt)
(SetAttrFloat,SetAttrFloat)
(setAttrString,SetAttrString)
(setAttrShape,SetAttrShape)
(setAttrTensor,SetAttrTensor)
(addInput,AddInput)
(addInputList,AddInputList)
(addControlInput,AddControlInput)
(finish,Finish)
(getOperations,GetOperations)
(sizeOf,GetSize)
(data,DataGetter)
(shape,ShapeGetter)
(getDimByIndex,GetDimByIndex)
(maybeMove,MaybeMove)
(destroy,Destory)
(_stringEncode,Tensor)
(_stringDecode,Tensor)
(close,Close)
(_run,Run)
