(send_message,send_message)
(send_action,send_action)
(get_current_user_profile,get_current_user_profile)
(get_user_devices,get_user_devices)
(get_user_device_types,get_user_device_types)
(get_user_application_properties,get_user_application_properties)
(add_device,add_device)
(get_device,get_device)
(get_device_token,get_device_token)
(update_device_token,update_device_token)
(delete_device_token,delete_device_token)
(delete_device,delete_device)
(get_device_properties,get_device_properties)
(set_device_server_properties,set_device_server_properties)
(sdr_start_registration,sdr_start_registration)
(sdr_registration_status,sdr_registration_status)
(sdr_complete_registration,sdr_complete_registration)
(websocket_open_stream,websocket_open_stream)
(websocket_send_message,websocket_send_message)
(websocket_close_stream,websocket_close_stream)
(set_network_config,set_network_config)
(get_network_config,get_network_config)
(get_current_public_ip,get_current_public_ip)
(dhcp_client_start,dhcp_client_start)
(dhcp_client_stop,dhcp_client_stop)
(dhcp_server_start,dhcp_server_start)
(dhcp_server_stop,dhcp_server_stop)
(get_online_status,get_online_status)
(add_watch_online_status,add_watch_online_status)
(remove_watch_online_status,remove_watch_online_status)
(get_stream,get_stream)
(get,get)
(post,post)
(put,put)
(del,del)
(set_willmsg,set_willmsg)
(free_willmsg,free_willmsg)
(clear_willmsg,clear_willmsg)
(connect,connect)
(disconnect,disconnect)
(subscribe,subscribe)
(unsubscribe,unsubscribe)
(publish,publish)
(create_session,create_session)
(remove_session,remove_session)
(change_folder,change_folder)
(create_folder,create_folder)
(delete_file,delete_file)
(list_folder,list_folder)
(get_file,get_file)
(put_file,put_file)
(resume_transfer,resume_transfer)
(suspend_transfer,suspend_transfer)
(client_request,client_request)
(client_release,client_release)
(client_connect,client_connect)
(client_disconnect,client_disconnect)
(client_write_resource,client_write_resource)
(client_read_resource,client_read_resource)
(serialize_tlv_int,serialize_tlv_int)
(serialize_tlv_string,serialize_tlv_string)
(initialize,initialize)
(network_start,network_start)
(network_form,network_form)
(network_form_manually,network_form_manually)
(network_permitjoin,network_permitjoin)
(network_leave,network_leave)
(network_join,network_join)
(network_find,network_find)
(network_request_my_network_status,network_request_my_network_status)
(device_request_my_node_type,device_request_my_node_type)
(device_find_by_cluster,device_find_by_cluster)
(reset_local,reset_local)
(network_stop_scan,network_stop_scan)
(network_join_manually,network_join_manually)
(device_discover,device_discover)
(set_discover_cycle_time,set_discover_cycle_time)
(get_discovered_device_list,get_discovered_device_list)
(raw_request,raw_request)
(get_local_device_list,get_local_device_list)
(create_client,create_client)
(destroy_client,destroy_client)
(create_server,create_server)
(destroy_server,destroy_server)
(start_server,start_server)
(stop_server,stop_server)
(observe,observe)
(cancel_observe,cancel_observe)
(init_resources,init_resources)
(notify_resource_changed,notify_resource_changed)
(scan_request,scan_request)
(get_scan_result,get_scan_result)
(get_info,get_info)
(start_ap,start_ap)
(request,request)
(release,release)
(write,write)
(get_port_num,get_port_num)
(get_name,get_name)
(get_baudrate,get_baudrate)
(get_parity,get_parity)
(get_data_bits,get_data_bits)
(get_stop_bits,get_stop_bits)
(get_flowctrl,get_flowctrl)
(set_port_num,set_port_num)
(set_name,set_name)
(set_baudrate,set_baudrate)
(set_parity,set_parity)
(set_data_bits,set_data_bits)
(set_stop_bits,set_stop_bits)
(set_flowctrl,set_flowctrl)
(read,read)
(get_direction,get_direction)
(get_id,get_id)
(get_modules,GetModules)
(get_platform,GetPlatform)
(get_platform_name,GetPlatformName)
(get_device_info,GetDeviceInfo)
(get_bt_mac_address,GetBtMacAddress)
(get_wifi_mac_address,GetWifiMacAddress)
(get_platform_serial_number,GetPlatformSN)
(get_platform_manufacturer,GetPlatformManufacturer)
(get_platform_uptime,GetPlatformUptime)
(get_platform_model_number,GetPlatformModelNumber)
(destroy,DestroyAll)
(register_profile,spp_register_profile)
(unregister_profile,spp_unregister_profile)
(register,pan_register)
(unregister,pan_unregister)
(connect,pan_connect)
(disconnect,pan_disconnect)
(get_connected,pan_is_connected)
(get_interface,pan_get_interface)
(get_UUID,pan_get_UUID)
(play_sound_file,play_sound_file)
(read_register,read_register)
(write_register,write_register)
(get_certificate,get_certificate)
(get_certificate_sn,get_certificate_sn)
(get_certificate_pem_chain,get_certificate_pem_chain)
(set_certificate,set_certificate)
(remove_certificate,remove_certificate)
(get_hash,get_hash)
(generate_key,generate_key)
(get_hmac,get_hmac)
(remove_key,remove_key)
(get_rsa_signature,get_rsa_signature)
(verify_rsa_signature,verify_rsa_signature)
(get_ecdsa_signature,get_ecdsa_signature)
(verify_ecdsa_signature,verify_ecdsa_signature)
(set_key,set_key)
(get_publickey,get_publickey)
(write_secure_storage,write_secure_storage)
(read_secure_storage,read_secure_storage)
(remove_secure_storage,remove_secure_storage)
(aes_encryption,aes_encryption)
(aes_decryption,aes_decryption)
(rsa_encryption,rsa_encryption)
(rsa_decryption,rsa_decryption)
(get_ec_pubkey_from_cert,get_ec_pubkey_from_cert)
(get_random_bytes,get_random_bytes)
(verify_signature_init,verify_signature_init)
(verify_signature_update,verify_signature_update)
(verify_signature_final,verify_signature_final)
(convert_pem_to_der,convert_pem_to_der)
(generate_dhm_params,generate_dhm_params)
(set_dhm_params,set_dhm_params)
(compute_dhm_params,compute_dhm_params)
(generate_ecdh_params,generate_ecdh_params)
(compute_ecdh_params,compute_ecdh_params)
(source_get_state,a2dp_source_get_state)
(groups_get_local_name_support,groups_get_local_name_support)
(groups_set_local_name_support,groups_set_local_name_support)
(onoff_get_value,onoff_get_value)
(ezmode_commissioning_target_start,ezmode_commissioning_target_start)
(ezmode_commissioning_target_stop,ezmode_commissioning_target_stop)
(identify_request,identify_request)
(identify_get_remaining_time,identify_get_remaining_time)
(onoff_command,onoff_command)
(ezmode_commissioning_initiator_start,ezmode_commissioning_initiator_start)
(ezmode_commissioning_initiator_stop,ezmode_commissioning_initiator_stop)
(level_control_request,level_control_request)
(level_control_get_value,level_control_get_value)
(illum_set_measured_value_range,illum_set_measured_value_range)
(illum_set_measured_value,illum_set_measured_value)
(illum_get_measured_value,illum_get_measured_value)
(reset_to_factory_default,reset_to_factory_default)
(request_reporting,request_reporting)
(stop_reporting,stop_reporting)
(read,request)
(write,release)
(read_write,read_write)
(discover_descriptors,discover_descriptors)
(discover_characteristics,discover_characteristics)
(discover_services,discover_services)
(start_scan,start_scan)
(stop_scan,stop_scan)
(get_devices,get_devices)
(start_bond,start_bond)
(stop_bond,stop_bond)
(remove_unpaired_devices,remove_unpaired_devices)
(remove_device,remove_device)
(set_scan_filter,set_scan_filter)
(set_alias,set_alias)
(set_discoverable,set_discoverable)
(set_pairable,set_pairable)
(set_pairableTimeout,set_pairableTimeout)
(set_discoverableTimeout,set_discoverableTimeout)
(is_scanning,is_scanning)
(get_adapter_info,get_adapter_info)
(remove_devices,remove_devices)
(connect_profile,connect_profile)
(set_trust,set_trust)
(unset_trust,unset_trust)
(set_block,set_block)
(unset_block,unset_block)
(is_paired,is_paired)
(is_connected,is_connected)
(is_trusted,is_trusted)
(is_blocked,is_blocked)
(get_value,get_value)
(get_pin_num,get_pin_num)
(set_pin_num,set_pin_num)
(open_stream,open_stream)
(write_stream,write_stream)
(close_stream,close_stream)
(get_type,get_type)
(get_index,get_index)
(get_speed_x,get_speed_x)
(get_speed_y,get_speed_y)
(get_speed_z,get_speed_z)
(get_yaw,get_yaw)
(get_pitch,get_pitch)
(get_roll,get_roll)
(get_humidity,get_humidity)
(get_intensity,get_intensity)
(get_celsius,get_celsius)
(get_fahrenheit,get_fahrenheit)
(get_presence,get_presence)
(get_signals,get_signals)
(get_pressure,get_pressure)
(get_detection,get_detection)
(list,list)
(get_sensor,get_sensor)
(get_accelerometer_sensor,get_accelerometer_sensor)
(get_humidity_sensor,get_humidity_sensor)
(get_light_sensor,get_light_sensor)
(get_temperature_sensor,get_temperature_sensor)
(get_proximity_sensor,get_proximity_sensor)
(get_flame_sensor,get_flame_sensor)
(get_pressure_sensor,get_pressure_sensor)
(get_gyro_sensor,get_gyro_sensor)
(get_hall_sensor,get_hall_sensor)
(controller_change_folder,avrcp_controller_change_folder)
(controller_list_item,avrcp_controller_list_item)
(controller_get_repeat_mode,avrcp_controller_get_repeat_mode)
(controller_set_repeat_mode,avrcp_controller_set_repeat_mode)
(controller_is_connected,avrcp_controller_is_connected)
(controller_resume_play,avrcp_controller_resume_play)
(controller_pause,avrcp_controller_pause)
(controller_stop,avrcp_controller_stop)
(controller_next,avrcp_controller_next)
(controller_previous,avrcp_controller_previous)
(controller_fast_forward,avrcp_controller_fast_forward)
(controller_rewind,avrcp_controller_rewind)
(controller_get_property,avrcp_controller_get_property)
(controller_play_item,avrcp_controller_play_item)
(controller_add_to_playing,avrcp_controller_add_to_playing)
(controller_get_name,avrcp_controller_get_name)
(controller_get_status,avrcp_controller_get_status)
(controller_get_subtype,avrcp_controller_get_subtype)
(controller_get_type,avrcp_controller_get_type)
(controller_is_browsable,avrcp_controller_is_browsable)
(controller_get_position,avrcp_controller_get_position)
(controller_get_metadata,avrcp_controller_get_metadata)
(enable,enable)
(disable,disable)
(set_period,set_period)
(set_polarity,set_polarity)
(set_duty_cycle,set_duty_cycle)
(get_period,get_period)
(get_polarity,get_polarity)
(get_duty_cycle,get_duty_cycle)
(send_pincode,agent_send_pincode)
(send_passkey,agent_send_passkey)
(send_error,agent_send_error)
(send_empty_response,agent_send_empty_response)
(register_capability,agent_register_capability)
(set_default,agent_set_default)
(unregister,agent_unregister)
(get_delay,get_delay)
(set_time,set_time)
(get_time,get_time)
(get_time_str,get_time_str)
(get_tick,get_tick)
(create_alarm_second,create_alarm_second)
(create_alarm_date,create_alarm_date)
(sync_ntp,sync_ntp)
(convert_timestamp_to_time,convert_timestamp_to_time)
(convert_time_to_timestamp,convert_time_to_timestamp)
(request_send_value,request_send_value)
(request_send_result,request_send_result)
(start_advertising,start_advertising)
(stop_advertising,stop_advertising)
(notify,notify)
(transfered,Integer)
(size,Integer)
(key,Integer)
(data,Integer)
(token,ArrayBuffer)
(msg_id,Number)
(code,Integer)
(data,ArrayBuffer)
(version,getVersion)
(features,getFeatures)
(profile_id,Number)
(device_id,Number)
(handle,Number)
(endpoint_id,Number)
(uuid,get_uuid)
(properties,get_properties)
(pair_timeout,Uint32)
(discover_timeout,Uint32)
(number_of_tracks,Int32)
(number,Int32)
(duration,Int32)
(index,Int32)
