(_associateSync,AssociateS)
(_closeSync,CloseS)
(_cursorGet,CursorGet)
(_cursorGetSync,CursorGetS)
(_openSync,OpenS)
(_get,Get)
(_getSync,GetS)
(_put,Put)
(_putIf,PutIf)
(_putSync,PutS)
(_del,Del)
(_delSync,DelS)
(setEncrypt,SetEncrypt)
(setFlags,SetFlags)
(setErrorFile,SetErrorFile)
(setErrorPrefix,SetErrorPrefix)
(setLockDetect,SetLockDetect)
(setLockTimeout,SetLockTimeout)
(setMaxLocks,SetMaxLocks)
(setMaxLockers,SetMaxLockers)
(setMaxLockObjects,SetMaxLockObjects)
(setShmKey,SetShmKey)
(setTxnMax,SetTxnMax)
(setTxnTimeout,SetTxnTimeout)
(_txnCheckpoint,TxnCheckpoint)
