(executor_construct,bitprim_executor_construct)
(executor_destruct,bitprim_executor_destruct)
(executor_stop,bitprim_executor_stop)
(executor_initchain,bitprim_executor_initchain)
(executor_run_wait,bitprim_executor_run_wait)
(executor_get_chain,bitprim_executor_get_chain)
(chain_fetch_last_height,bitprim_chain_fetch_last_height)
(chain_fetch_block_height,bitprim_chain_fetch_block_height)
(chain_fetch_block_header_by_height,bitprim_chain_fetch_block_header_by_height)
(chain_fetch_block_header_by_hash,bitprim_chain_fetch_block_header_by_hash)
(chain_fetch_block_by_height,bitprim_chain_fetch_block_by_height)
(chain_fetch_block_by_hash,bitprim_chain_fetch_block_by_hash)
(chain_fetch_merkle_block_by_height,bitprim_chain_fetch_merkle_block_by_height)
(chain_fetch_merkle_block_by_hash,bitprim_chain_fetch_merkle_block_by_hash)
(chain_fetch_transaction,bitprim_chain_fetch_transaction)
(chain_fetch_transaction_position,bitprim_chain_fetch_transaction_position)
(chain_fetch_spend,bitprim_chain_fetch_spend)
(chain_fetch_history,bitprim_chain_fetch_history)
(chain_organize_block,bitprim_chain_organize_block)
(chain_organize_transaction,bitprim_chain_organize_transaction)
(chain_subscribe_blockchain,bitprim_chain_subscribe_blockchain)
(chain_header_destruct,bitprim_chain_header_destruct)
(chain_header_get_version,bitprim_chain_header_get_version)
(chain_header_set_version,bitprim_chain_header_set_version)
(chain_header_get_previous_block_hash,bitprim_chain_header_get_previous_block_hash)
(chain_header_get_merkle,bitprim_chain_header_get_merkle)
(chain_header_get_hash,bitprim_chain_header_get_hash)
(chain_header_get_timestamp,bitprim_chain_header_get_timestamp)
(chain_header_get_bits,bitprim_chain_header_get_bits)
(chain_header_get_nonce,bitprim_chain_header_get_nonce)
(chain_block_destruct,bitprim_chain_block_destruct)
(chain_block_get_header,bitprim_chain_block_get_header)
(chain_block_transaction_count,bitprim_chain_block_transaction_count)
(chain_block_serialized_size,bitprim_chain_block_serialized_size)
(chain_block_subsidy,bitprim_chain_block_subsidy)
(chain_block_fees,bitprim_chain_block_fees)
(chain_block_claim,bitprim_chain_block_claim)
(chain_block_reward,bitprim_chain_block_reward)
(chain_block_generate_merkle_root,bitprim_chain_block_generate_merkle_root)
(chain_block_hash,bitprim_chain_block_hash)
(chain_block_is_valid,bitprim_chain_block_is_valid)
(chain_block_transaction_nth,bitprim_chain_block_transaction_nth)
(chain_block_signature_operations,bitprim_chain_block_signature_operations)
(chain_block_signature_operations_bip16_active,bitprim_chain_block_signature_operations_bip16_active)
(chain_block_total_inputs,bitprim_chain_block_total_inputs)
(chain_block_is_extra_coinbase,bitprim_chain_block_is_extra_coinbase)
(chain_block_is_final,bitprim_chain_block_is_final)
(chain_block_is_distinct_transaction_set,bitprim_chain_block_is_distinct_transaction_set)
(chain_block_is_valid_coinbase_claim,bitprim_chain_block_is_valid_coinbase_claim)
(chain_block_is_valid_coinbase_script,bitprim_chain_block_is_valid_coinbase_script)
(chain_block_is_internal_double_spend,bitprim_chain_block_is_internal_double_spend)
(chain_block_is_valid_merkle_root,bitprim_chain_block_is_valid_merkle_root)
(chain_merkle_block_destruct,bitprim_chain_merkle_block_destruct)
(chain_merkle_block_get_header,bitprim_chain_merkle_block_get_header)
(chain_merkle_block_serialized_size,bitprim_chain_merkle_block_serialized_size)
(chain_merkle_block_is_valid,bitprim_chain_merkle_block_is_valid)
(chain_merkle_block_hash_count,bitprim_chain_merkle_block_hash_count)
(chain_merkle_block_total_transaction_count,bitprim_chain_merkle_block_total_transaction_count)
(chain_merkle_block_reset,bitprim_chain_merkle_block_reset)
