(getLength,GetLength)
(getKey,GetKey)
(setKey,SetKey)
(getValue,GetValue)
(setValue,SetValue)
(success,ReturnCallback)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(getUnit,GetUnit)
(setUnit,SetUnit)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(start,FSEvents)
(stop,FSEvents)
