(newCallback,NewCallback)
(freeCallback,FreeCallback)
(deleteCallback,FreeCallback)
(argBool,ArgBool)
(argChar,ArgChar)
(argShort,ArgShort)
(argInt,ArgInt)
(argLong,ArgLong)
(argLongLong,ArgLongLong)
(argUChar,ArgUChar)
(argUShort,ArgUShort)
(argUint,ArgUInt)
(argULong,ArgULong)
(argULongLong,ArgULongLong)
(argFloat,ArgFloat)
(argPointer,ArgPointer)
(getTypeSize,GetTypeSize)
(writeInt64,WriteInt64)
(pointerToString,PointerToString)
(memoryCopy,MemCpy)
(testMultiplyFunction,bridjs)
(getAddress,Pointer)
(isNull,Pointer)
(toString,Pointer)
(slice,Pointer)
(getSymbolName,GetSymbol)
(getArgumentType,GetArgumentType)
(getArgumentsLength,GetArgumentsLength)
(callAsync,CallAsync)
(call,Call)
(getReturnType,GetReturnType)
