(toBuffer,ToBuffer)
(streamPNGSync,StreamPNGSync)
(addColorStop,AddColorStop)
(drawImage,DrawImage)
(putImageData,PutImageData)
(addPage,AddPage)
(save,Save)
(restore,Restore)
(rotate,Rotate)
(translate,Translate)
(transform,Transform)
(resetTransform,ResetTransform)
(isPointInPath,IsPointInPath)
(scale,Scale)
(clip,Clip)
(fill,Fill)
(stroke,Stroke)
(fillText,FillText)
(strokeText,StrokeText)
(fillRect,FillRect)
(strokeRect,StrokeRect)
(clearRect,ClearRect)
(rect,Rect)
(measureText,MeasureText)
(moveTo,MoveTo)
(lineTo,LineTo)
(bezierCurveTo,BezierCurveTo)
(quadraticCurveTo,QuadraticCurveTo)
(beginPath,BeginPath)
(closePath,ClosePath)
(arc,Arc)
(arcTo,ArcTo)
(_setFont,SetFont)
(_setFillColor,SetFillColor)
(_setStrokeColor,SetStrokeColor)
(_setFillPattern,SetFillPattern)
(_setStrokePattern,SetStrokePattern)
(_setTextBaseline,SetTextBaseline)
(_setTextAlignment,SetTextAlignment)
