(addColorStop,AddColorStop)
(drawImage,DrawImage)
(putImageData,PutImageData)
(addPage,AddPage)
(save,Save)
(restore,Restore)
(rotate,Rotate)
(translate,Translate)
(transform,Transform)
(resetTransform,ResetTransform)
(isPointInPath,IsPointInPath)
(scale,Scale)
(clip,Clip)
(fill,Fill)
(stroke,Stroke)
(fillText,FillText)
(strokeText,StrokeText)
(fillRect,FillRect)
(strokeRect,StrokeRect)
(clearRect,ClearRect)
(rect,Rect)
(measureText,MeasureText)
(moveTo,MoveTo)
(lineTo,LineTo)
(bezierCurveTo,BezierCurveTo)
(quadraticCurveTo,QuadraticCurveTo)
(beginPath,BeginPath)
(closePath,ClosePath)
(arc,Arc)
(arcTo,ArcTo)
(setLineDash,SetLineDash)
(getLineDash,GetLineDash)
(_setFont,SetFont)
(_setFillColor,SetFillColor)
(_setStrokeColor,SetStrokeColor)
(_setFillPattern,SetFillPattern)
(_setStrokePattern,SetStrokePattern)
(_setTextBaseline,SetTextBaseline)
(_setTextAlignment,SetTextAlignment)
(toBuffer,ToBuffer)
(streamPNGSync,StreamPNGSync)
(setLineDash,SetLineDash)
(_setFont,SetFont)
(_setFillColor,SetFillColor)
(_setStrokeColor,SetStrokeColor)
(_setFillPattern,SetFillPattern)
(_setStrokePattern,SetStrokePattern)
(_setTextBaseline,SetTextBaseline)
(_setTextAlignment,SetTextAlignment)
(PNG_NO_FILTERS,Uint32)
(PNG_FILTER_NONE,Uint32)
(PNG_FILTER_SUB,Uint32)
(PNG_FILTER_UP,Uint32)
(PNG_FILTER_AVG,Uint32)
(PNG_FILTER_PAETH,Uint32)
(PNG_ALL_FILTERS,Uint32)
(complete,GetComplete)
(width,GetWidth)
(height,GetHeight)
(fillColor,GetFillColor)
(strokeColor,GetStrokeColor)
(width,Number)
(actualBoundingBoxLeft,Number)
(actualBoundingBoxRight,Number)
(actualBoundingBoxAscent,Number)
(actualBoundingBoxDescent,Number)
(emHeightAscent,Number)
(emHeightDescent,Number)
(alphabeticBaseline,Number)
(type,GetType)
(length,GetLength)
