(get_exif,get_exif)
(extract_exif_jpg_IF,extract_exif_jpg_IF)
(extract_exif_jpg_IB,extract_exif_jpg_IB)
(get_picture_info,get_picture_info)
(resize_image_IFOB,resize_image_IFOB)
(resize_image_IFOF,resize_image_IFOF)
(resize_image_IBOB,resize_image_IBOB)
(resize_image_IFOB_async,resize_image_IFOB_async<capa::resize_image_IFOB>)
(resize_image_IFOF_async,resize_image_IFOF_async<capa::resize_image_IFOF>)
(resize_image_IBOB_async,resize_image_IBOB_async<capa::resize_image_IBOB>)
(create_thumbnail_jpg_IFOF,create_thumbnail_IFOF<capa::create_thumbnail_jpg_IFOF>)
(create_thumbnail_png_IFOF,create_thumbnail_IFOF<capa::create_thumbnail_png_IFOF>)
(create_thumbnail_IFOF,create_thumbnail_IFOF<capa::create_thumbnail_IFOF>)
(create_thumbnail_jpg_IFOF_async,create_thumbnail_IFOF_async<capa::create_thumbnail_jpg_IFOF>)
(create_thumbnail_png_IFOF_async,create_thumbnail_IFOF_async<capa::create_thumbnail_png_IFOF>)
(create_thumbnail_IFOF_async,create_thumbnail_IFOF_async<capa::create_thumbnail_IFOF>)
(create_thumbnail_jpg_IFOB,create_thumbnail_IFOB<capa::create_thumbnail_jpg_IFOB>)
(create_thumbnail_png_IFOB,create_thumbnail_IFOB<capa::create_thumbnail_png_IFOB>)
(create_thumbnail_IFOB,create_thumbnail_IFOB<capa::create_thumbnail_IFOB>)
(create_thumbnail_IFOB_async,create_thumbnail_IFOB_async<capa::create_thumbnail_IFOB>)
(create_thumbnail_png_IFOB_async,create_thumbnail_IFOB_async<capa::create_thumbnail_png_IFOB>)
(create_thumbnail_jpg_IFOB_async,create_thumbnail_IFOB_async<capa::create_thumbnail_jpg_IFOB>)
(create_thumbnail_IBOB,create_thumbnail_IBOB<capa::create_thumbnail_IBOB>)
(create_thumbnail_jpg_IBOB,create_thumbnail_IBOB<capa::create_thumbnail_jpg_IBOB>)
(create_thumbnail_png_IBOB,create_thumbnail_IBOB<capa::create_thumbnail_png_IBOB>)
(create_thumbnail_IBOB_async,create_thumbnail_IBOB_async<capa::create_thumbnail_IBOB>)
(create_thumbnail_png_IBOB_async,create_thumbnail_IBOB_async<capa::create_thumbnail_png_IBOB>)
(create_thumbnail_jpg_IBOB_async,create_thumbnail_IBOB_async<capa::create_thumbnail_jpg_IBOB>)
