(Hash32Buffer,Hash32Buffer)
(Hash32String,Hash32String)
(Hash32WithSeedBuffer,Hash32WithSeedBuffer)
(Hash32WithSeedString,Hash32WithSeedString)
(Hash64Buffer,Hash64Buffer)
(Hash64String,Hash64String)
(Hash64WithSeedBuffer,Hash64WithSeedBuffer)
(Hash64WithSeedString,Hash64WithSeedString)
(Hash64WithSeedsBuffer,Hash64WithSeedsBuffer)
(Hash64WithSeedsString,Hash64WithSeedsString)
(Fingerprint32Buffer,Fingerprint32Buffer)
(Fingerprint32String,Fingerprint32String)
(Fingerprint64Buffer,Fingerprint64Buffer)
(Fingerprint64String,Fingerprint64String)
