(setAddrAsync,SetAddrAsync)
(setAddrSync,SetAddrSync)
(i2cFuncsAsync,I2cFuncsAsync)
(i2cFuncsSync,I2cFuncsSync)
(deviceIdAsync,DeviceIdAsync)
(deviceIdSync,DeviceIdSync)
(readByteAsync,ReadByteAsync)
(readByteSync,ReadByteSync)
(readWordAsync,ReadWordAsync)
(readWordSync,ReadWordSync)
(readBlockAsync,ReadBlockAsync)
(readBlockSync,ReadBlockSync)
(readI2cBlockAsync,ReadI2cBlockAsync)
(readI2cBlockSync,ReadI2cBlockSync)
(receiveByteAsync,ReceiveByteAsync)
(receiveByteSync,ReceiveByteSync)
(sendByteAsync,SendByteAsync)
(sendByteSync,SendByteSync)
(writeByteAsync,WriteByteAsync)
(writeByteSync,WriteByteSync)
(writeWordAsync,WriteWordAsync)
(writeWordSync,WriteWordSync)
(writeBlockAsync,WriteBlockAsync)
(writeBlockSync,WriteBlockSync)
(writeI2cBlockAsync,WriteI2cBlockAsync)
(writeI2cBlockSync,WriteI2cBlockSync)
(writeQuickAsync,WriteQuickAsync)
(writeQuickSync,WriteQuickSync)
