(end,End)
(createPage,CreatePage)
(writePage,WritePage)
(writePageAndReturnID,WritePageAndReturnID)
(startPageContentContext,StartPageContentContext)
(pausePageContentContext,PausePageContentContext)
(createFormXObject,CreateFormXObject)
(endFormXObject,EndFormXObject)
(createFormXObjectFromJPG,CreateformXObjectFromJPG)
(getFontForFile,GetFontForFile)
(attachURLLinktoCurrentPage,AttachURLLinktoCurrentPage)
(shutdown,Shutdown)
(createFormXObjectFromTIFF,CreateFormXObjectFromTIFF)
(createImageXObjectFromJPG,CreateImageXObjectFromJPG)
(createFormXObjectFromPNG,CreateFormXObjectFromPNG)
(retrieveJPGImageInformation,RetrieveJPGImageInformation)
(getObjectsContext,GetObjectsContext)
(getDocumentContext,GetDocumentContext)
(appendPDFPagesFromPDF,AppendPDFPagesFromPDF)
(mergePDFPagesToPage,MergePDFPagesToPage)
(createPDFCopyingContext,CreatePDFCopyingContext)
(createFormXObjectsFromPDF,CreateFormXObjectsFromPDF)
(createPDFCopyingContextForModifiedFile,CreatePDFCopyingContextForModifiedFile)
(createPDFTextString,CreatePDFTextString)
(createPDFDate,CreatePDFDate)
(getImageDimensions,GetImageDimensions)
(getImagePagesCount,GetImagePagesCount)
(getImageType,GetImageType)
(getModifiedFileParser,GetModifiedFileParser)
(getModifiedInputFile,GetModifiedInputFile)
(getOutputFile,GetOutputFile)
(registerAnnotationReferenceForNextPageWrite,RegisterAnnotationReferenceForNextPageWrite)
(requireCatalogUpdate,RequireCatalogUpdate)
(getObjectID,GetObjectID)
(getVersion,GetVersion)
(openFile,OpenFile)
(closeFile,CloseFile)
(getFilePath,GetFilePath)
(getOutputStream,GetOutputStream)
(getCurrentPageContentStream,GetCurrentPageContentStream)
(getAssociatedPage,GetAssociatedPage)
(toText,ToText)
(toBytesArray,ToBytesArray)
(addFormXObjectMapping,AddFormXObjectMapping)
(addImageXObjectMapping,AddImageXObjectMapping)
(addProcsetResource,AddProcsetResource)
(addExtGStateMapping,AddExtGStateMapping)
(addFontMapping,AddFontMapping)
(addColorSpaceMapping,AddColorSpaceMapping)
(addPatternMapping,AddPatternMapping)
(addPropertyMapping,AddPropertyMapping)
(addXObjectMapping,AddXObjectMapping)
(addShadingMapping,AddShadingMapping)
(write,Write)
(startContext,StartContext)
(getContext,GetContext)
(endContext,EndContext)
(getCurrentPosition,GetCurrentPosition)
(read,Read)
(notEnded,NotEnded)
(getPDFLevel,GetPDFLevel)
(getPagesCount,GetPagesCount)
(getTrailer,GetTrailer)
(queryDictionaryObject,QueryDictionaryObject)
(queryArrayObject,QueryArrayObject)
(parseNewObject,ParseNewObject)
(getPageObjectID,GetPageObjectID)
(parsePageDictionary,ParsePageDictionary)
(parsePage,ParsePage)
(getObjectsCount,GetObjectsCount)
(isEncrypted,IsEncrypted)
(getXrefSize,GetXrefSize)
(getXrefEntry,GetXrefEntry)
(getXrefPosition,GetXrefPosition)
(startReadingFromStream,StartReadingFromStream)
(startReadingFromStreamForPlainCopying,StartReadingFromStreamForPlainCopying)
(startReadingObjectsFromStream,StartReadingObjectsFromStream)
(startReadingObjectsFromStreams,StartReadingObjectsFromStreams)
(getParserStream,GetParserStream)
(writeKey,WriteKey)
(writeNameValue,WriteNameValue)
(writeRectangleValue,WriteRectangleValue)
(writeLiteralStringValue,WriteLiteralStringValue)
(writeBooleanValue,WriteBooleanValue)
(writeObjectReferenceValue,WriteObjectReferenceValue)
(writeNumberValue,WriteNumberValue)
(toJSObject,ToJSObject)
(queryObject,QueryObject)
(exists,Exists)
(getDictionary,GetDictionary)
(getMediaBox,GetMediaBox)
(getCropBox,GetCropBox)
(getTrimBox,GetTrimBox)
(getBleedBox,GetBleedBox)
(getArtBox,GetArtBox)
(getRotate,GetRotate)
(getResourcesDictionary,GetResourcesDictionary)
(getStreamContentStart,GetStreamContentStart)
(addAdditionalInfoEntry,AddAdditionalInfoEntry)
(removeAdditionalInfoEntry,RemoveAdditionalInfoEntry)
(clearAdditionalInfoEntries,ClearAdditionalInfoEntries)
(getAdditionalInfoEntry,GetAdditionalInfoEntry)
(getAdditionalInfoEntries,GetAdditionalInfoEntries)
(setCreationDate,SetCreationDate)
(setModDate,SetModDate)
(getType,GetType)
(toPDFIndirectObjectReference,ToPDFIndirectObjectReference)
(toPDFArray,ToPDFArray)
(toPDFDictionary,ToPDFDictionary)
(toPDFStream,ToPDFStream)
(toPDFBoolean,ToPDFBoolean)
(toPDFLiteralString,ToPDFLiteralString)
(toPDFHexString,ToPDFHexString)
(toPDFNull,ToPDFNull)
(toPDFName,ToPDFName)
(toPDFInteger,ToPDFInteger)
(toPDFReal,ToPDFReal)
(toPDFSymbol,ToPDFSymbol)
(toNumber,ToNumber)
(toString,ToString)
(getWriteStream,GetWriteStream)
(createFormXObjectFromPDFPage,CreateFormXObjectFromPDFPage)
(mergePDFPageToPage,MergePDFPageToPage)
(appendPDFPageFromPDF,AppendPDFPageFromPDF)
(mergePDFPageToFormXObject,MergePDFPageToFormXObject)
(getSourceDocumentParser,GetSourceDocumentParser)
(copyDirectObjectAsIs,CopyDirectObjectAsIs)
(copyObject,CopyObject)
(copyDirectObjectWithDeepCopy,CopyDirectObjectWithDeepCopy)
(copyNewObjectsForDirectObject,CopyNewObjectsForDirectObject)
(getCopiedObjectID,GetCopiedObjectID)
(getCopiedObjects,GetCopiedObjects)
(replaceSourceObjects,ReplaceSourceObjects)
(getSourceDocumentStream,GetSourceDocumentStream)
(getFileSize,GetFileSize)
(getInputStream,GetInputStream)
(getContentContext,GetContentContext)
(getResourcesDictinary,GetResourcesDictionary)
(getContentStream,GetContentStream)
(allocateNewObjectID,AllocateNewObjectID)
(startDictionary,StartDictionary)
(startArray,StartArray)
(writeNumber,WriteNumber)
(endArray,EndArray)
(endLine,EndLine)
(endDictionary,EndDictionary)
(endIndirectObject,EndIndirectObject)
(writeIndirectObjectReference,WriteIndirectObjectReference)
(startNewIndirectObject,StartNewIndirectObject)
(startModifiedIndirectObject,StartModifiedIndirectObject)
(deleteObject,DeleteObject)
(writeName,WriteName)
(writeLiteralString,WriteLiteralString)
(writeHexString,WriteHexString)
(writeBoolean,WriteBoolean)
(writeKeyword,WriteKeyword)
(writeComment,WriteComment)
(setCompressStreams,SetCompressStreams)
(startPDFStream,StartPDFStream)
(startUnfilteredPDFStream,StartUnfilteredPDFStream)
(endPDFStream,EndPDFStream)
(startFreeContext,StartFreeContext)
(endFreeContext,EndFreeContext)
(b,b)
(B,B)
(bStar,bStar)
(BStar,BStar)
(s,s)
(S,S)
(f,f)
(F,F)
(fStar,fStar)
(n,n)
(m,m)
(l,l)
(c,c)
(v,v)
(y,y)
(h,h)
(re,re)
(q,q)
(Q,Q)
(cm,cm)
(w,w)
(J,J)
(j,j)
(M,M)
(d,d)
(ri,ri)
(i,i)
(gs,gs)
(CS,CS)
(cs,cs)
(SC,SC)
(SCN,SCN)
(sc,sc)
(scn,scn)
(G,G)
(g,g)
(RG,RG)
(rg,rg)
(K,K)
(k,k)
(W,W)
(WStar,WStar)
(doXObject,doXObject)
(Tc,Tc)
(Tw,Tw)
(Tz,Tz)
(TL,TL)
(Tr,Tr)
(Ts,Ts)
(BT,BT)
(ET,ET)
(Td,Td)
(TD,TD)
(Tm,Tm)
(TStar,TStar)
(Tf,Tf)
(Tj,Tj)
(Quote,Quote)
(DoubleQuote,DoubleQuote)
(TJ,TJ)
(writeFreeCode,WriteFreeCode)
(drawPath,DrawPath)
(drawCircle,DrawCircle)
(drawSquare,DrawSquare)
(drawRectangle,DrawRectangle)
(writeText,WriteText)
(drawImage,DrawImage)
(toJSArray,ToJSArray)
(getLength,GetLength)
(setToCurrentTime,SetToCurrentTime)
(fromString,FromString)
(calculateTextDimensions,CalculateTextDimensions)
(getFontMetrics,GetFontMetrics)
(setPosition,SetPosition)
(setPositionFromEnd,SetPositionFromEnd)
(skip,Skip)
(getInfoDictionary,GetInfoDictionary)
