(dasum,dasum)
(sasum,sasum)
(dzasum,dzasum)
(scasum,scasum)
(daxpy,daxpy)
(saxpy,saxpy)
(zaxpy,zaxpy)
(caxpy,caxpy)
(dcopy,dcopy)
(scopy,scopy)
(zcopy,zcopy)
(ccopy,ccopy)
(ddot,ddot)
(sdot,sdot)
(dsdot,dsdot)
(sdsdot,sdsdot)
(dnrm2,dnrm2)
(snrm2,snrm2)
(dznrm2,dznrm2)
(scnrm2,scnrm2)
(drot,drot)
(srot,srot)
(drotg,drotg)
(srotg,srotg)
(drotm,drotm)
(srotm,srotm)
(drotmg,drotmg)
(srotmg,srotmg)
(dscal,dscal)
(sscal,sscal)
(zscal,zscal)
(cscal,cscal)
(dswap,dswap)
(sswap,sswap)
(zswap,zswap)
(cswap,cswap)
(idamax,idamax)
(isamax,isamax)
(izamax,izamax)
(icamax,icamax)
(dgbmv,dgbmv)
(sgbmv,sgbmv)
(zgbmv,zgbmv)
(cgbmv,cgbmv)
(dgemv,dgemv)
(sgemv,sgemv)
(zgemv,zgemv)
(cgemv,cgemv)
(dger,dger)
(sger,sger)
(dsbmv,dsbmv)
(ssbmv,ssbmv)
(dspmv,dspmv)
(sspmv,sspmv)
(dspr,dspr)
(sspr,sspr)
(dspr2,dspr2)
(sspr2,sspr2)
(dsymv,dsymv)
(ssymv,ssymv)
(dsyr,dsyr)
(ssyr,ssyr)
(dsyr2,dsyr2)
(ssyr2,ssyr2)
(dtbmv,dtbmv)
(stbmv,stbmv)
(ztbmv,ztbmv)
(ctbmv,ctbmv)
(dtbsv,dtbsv)
(stbsv,stbsv)
(ztbsv,ztbsv)
(ctbsv,ctbsv)
(dtpmv,dtpmv)
(stpmv,stpmv)
(ztpmv,ztpmv)
(ctpmv,ctpmv)
(dtpsv,dtpsv)
(stpsv,stpsv)
(ztpsv,ztpsv)
(ctpsv,ctpsv)
(dtrmv,dtrmv)
(strmv,strmv)
(ztrmv,ztrmv)
(ctrmv,ctrmv)
(dtrsv,dtrsv)
(strsv,strsv)
(ztrsv,ztrsv)
(ctrsv,ctrsv)
(dgemm,dgemm)
(sgemm,sgemm)
(zgemm,zgemm)
(cgemm,cgemm)
(dsymm,dsymm)
(ssymm,ssymm)
(zsymm,zsymm)
(csymm,csymm)
(dsyrk,dsyrk)
(ssyrk,ssyrk)
(zsyrk,zsyrk)
(csyrk,csyrk)
(dsyr2k,dsyr2k)
(ssyr2k,ssyr2k)
(zsyr2k,zsyr2k)
(csyr2k,csyr2k)
(dtrmm,dtrmm)
(strmm,strmm)
(ztrmm,ztrmm)
(ctrmm,ctrmm)
(dtrsm,dtrsm)
(strsm,strsm)
(ztrsm,ztrsm)
(ctrsm,ctrsm)
