(BindInitWindow,BindInitWindow)
(BindWindowShouldClose,BindWindowShouldClose)
(BindCloseWindow,BindCloseWindow)
(BindIsWindowReady,BindIsWindowReady)
(BindIsWindowFullscreen,BindIsWindowFullscreen)
(BindIsWindowHidden,BindIsWindowHidden)
(BindIsWindowMinimized,BindIsWindowMinimized)
(BindIsWindowMaximized,BindIsWindowMaximized)
(BindIsWindowFocused,BindIsWindowFocused)
(BindIsWindowResized,BindIsWindowResized)
(BindIsWindowState,BindIsWindowState)
(BindSetWindowState,BindSetWindowState)
(BindClearWindowState,BindClearWindowState)
(BindToggleFullscreen,BindToggleFullscreen)
(BindMaximizeWindow,BindMaximizeWindow)
(BindMinimizeWindow,BindMinimizeWindow)
(BindRestoreWindow,BindRestoreWindow)
(BindSetWindowIcon,BindSetWindowIcon)
(BindSetWindowIcons,BindSetWindowIcons)
(BindSetWindowTitle,BindSetWindowTitle)
(BindSetWindowPosition,BindSetWindowPosition)
(BindSetWindowMonitor,BindSetWindowMonitor)
(BindSetWindowMinSize,BindSetWindowMinSize)
(BindSetWindowSize,BindSetWindowSize)
(BindSetWindowOpacity,BindSetWindowOpacity)
(BindGetWindowHandle,BindGetWindowHandle)
(BindGetScreenWidth,BindGetScreenWidth)
(BindGetScreenHeight,BindGetScreenHeight)
(BindGetRenderWidth,BindGetRenderWidth)
(BindGetRenderHeight,BindGetRenderHeight)
(BindGetMonitorCount,BindGetMonitorCount)
(BindGetCurrentMonitor,BindGetCurrentMonitor)
(BindGetMonitorPosition,BindGetMonitorPosition)
(BindGetMonitorWidth,BindGetMonitorWidth)
(BindGetMonitorHeight,BindGetMonitorHeight)
(BindGetMonitorPhysicalWidth,BindGetMonitorPhysicalWidth)
(BindGetMonitorPhysicalHeight,BindGetMonitorPhysicalHeight)
(BindGetMonitorRefreshRate,BindGetMonitorRefreshRate)
(BindGetWindowPosition,BindGetWindowPosition)
(BindGetWindowScaleDPI,BindGetWindowScaleDPI)
(BindGetMonitorName,BindGetMonitorName)
(BindSetClipboardText,BindSetClipboardText)
(BindGetClipboardText,BindGetClipboardText)
(BindEnableEventWaiting,BindEnableEventWaiting)
(BindDisableEventWaiting,BindDisableEventWaiting)
(BindSwapScreenBuffer,BindSwapScreenBuffer)
(BindPollInputEvents,BindPollInputEvents)
(BindWaitTime,BindWaitTime)
(BindShowCursor,BindShowCursor)
(BindHideCursor,BindHideCursor)
(BindIsCursorHidden,BindIsCursorHidden)
(BindEnableCursor,BindEnableCursor)
(BindDisableCursor,BindDisableCursor)
(BindIsCursorOnScreen,BindIsCursorOnScreen)
(BindClearBackground,BindClearBackground)
(BindBeginDrawing,BindBeginDrawing)
(BindEndDrawing,BindEndDrawing)
(BindBeginMode2D,BindBeginMode2D)
(BindEndMode2D,BindEndMode2D)
(BindBeginMode3D,BindBeginMode3D)
(BindEndMode3D,BindEndMode3D)
(BindBeginTextureMode,BindBeginTextureMode)
(BindEndTextureMode,BindEndTextureMode)
(BindBeginShaderMode,BindBeginShaderMode)
(BindEndShaderMode,BindEndShaderMode)
(BindBeginBlendMode,BindBeginBlendMode)
(BindEndBlendMode,BindEndBlendMode)
