(add,RoaringBitmap32_add)
(addMany,RoaringBitmap32_addMany)
(addRange,RoaringBitmap32_addRange)
(andCardinality,RoaringBitmap32_andCardinality)
(andInPlace,RoaringBitmap32_andInPlace)
(andNotCardinality,RoaringBitmap32_andNotCardinality)
(andNotInPlace,RoaringBitmap32_removeMany)
(asReadonlyView,RoaringBitmap32_asReadonlyView)
(at,RoaringBitmap32_at)
(clear,RoaringBitmap32_clear)
(clone,RoaringBitmap32_clone)
(contains,RoaringBitmap32_has)
(containsRange,RoaringBitmap32_hasRange)
(contentToString,RoaringBitmap32_contentToString)
(copyFrom,RoaringBitmap32_copyFrom)
(delete,RoaringBitmap32_remove)
(deserialize,RoaringBitmap32_deserialize)
(flipRange,RoaringBitmap32_flipRange)
(freeze,RoaringBitmap32_freeze)
(getSerializationSizeInBytes,RoaringBitmap32_getSerializationSizeInBytes)
(has,RoaringBitmap32_has)
(hasRange,RoaringBitmap32_hasRange)
(includes,RoaringBitmap32_has)
(indexOf,RoaringBitmap32_indexOf)
(intersects,RoaringBitmap32_intersects)
(intersectsWithRange,RoaringBitmap32_intersectsWithRange)
(isEqual,RoaringBitmap32_isEqual)
(isStrictSubset,RoaringBitmap32_isStrictSubset)
(isStrictSuperset,RoaringBitmap32_isStrictSuperset)
(isSubset,RoaringBitmap32_isSubset)
(isSuperset,RoaringBitmap32_isSuperset)
(jaccardIndex,RoaringBitmap32_jaccardIndex)
(join,RoaringBitmap32_join)
(lastIndexOf,RoaringBitmap32_lastIndexOf)
(maximum,RoaringBitmap32_maximum)
(minimum,RoaringBitmap32_minimum)
(orCardinality,RoaringBitmap32_orCardinality)
(orInPlace,RoaringBitmap32_addMany)
(pop,RoaringBitmap32_pop)
(rangeCardinality,RoaringBitmap32_rangeCardinality)
(rangeUint32Array,RoaringBitmap32_rangeUint32Array)
(rank,RoaringBitmap32_rank)
(remove,RoaringBitmap32_remove)
(removeMany,RoaringBitmap32_removeMany)
(removeRange,RoaringBitmap32_removeRange)
(removeRunCompression,RoaringBitmap32_removeRunCompression)
(runOptimize,RoaringBitmap32_runOptimize)
(select,RoaringBitmap32_select)
(serialize,RoaringBitmap32_serialize)
(serializeAsync,RoaringBitmap32_serializeAsync)
(serializeFileAsync,RoaringBitmap32_serializeFileAsync)
(shift,RoaringBitmap32_shift)
(shrinkToFit,RoaringBitmap32_shrinkToFit)
(statistics,RoaringBitmap32_statistics)
(toArray,RoaringBitmap32_toArray)
(toSet,RoaringBitmap32_toSet)
(toString,RoaringBitmap32_toString)
(toUint32Array,RoaringBitmap32_toUint32Array)
(toUint32ArrayAsync,RoaringBitmap32_toUint32ArrayAsync)
(tryAdd,RoaringBitmap32_tryAdd)
(xorCardinality,RoaringBitmap32_xorCardinality)
(xorInPlace,RoaringBitmap32_xorInPlace)
(fill,RoaringBitmap32BufferedIterator_fill)
