(0,data)
(get_device_count,get_device_count)
(get_device_name,get_device_name)
(get_device_usb_strings,get_device_usb_strings)
(get_index_by_serial,get_index_by_serial)
(open,open)
(close,close)
(set_xtal_freq,set_xtal_freq)
(get_xtal_freq,get_xtal_freq)
(get_usb_strings,get_usb_strings)
(write_eeprom,write_eeprom)
(read_eeprom,read_eeprom)
(set_center_freq,set_center_freq)
(get_center_freq,get_center_freq)
(set_freq_correction,set_freq_correction)
(get_freq_correction,get_freq_correction)
(get_tuner_type,get_tuner_type)
(get_tuner_gains,get_tuner_gains)
(set_tuner_gain,set_tuner_gain)
(get_tuner_gain,get_tuner_gain)
(set_tuner_if_gain,set_tuner_if_gain)
(set_tuner_gain_mode,set_tuner_gain_mode)
(set_sample_rate,set_sample_rate)
(get_sample_rate,get_sample_rate)
(set_testmode,set_testmode)
(set_agc_mode,set_agc_mode)
(set_direct_sampling,set_direct_sampling)
(get_direct_sampling,get_direct_sampling)
(set_offset_tuning,set_offset_tuning)
(get_offset_tuning,get_offset_tuning)
(reset_buffer,reset_buffer)
(read_sync,read_sync)
(read_async,read_async)
(cancel_async,cancel_async)
