(bcrypt,bcrypt)
(blake,blake)
(boolberry,boolberry)
(c11,c11)
(cryptonight,cryptonight)
(cryptonightdark,cryptonightdark)
(cryptonight-dark,cryptonightdark)
(cryptonightdarklite,cryptonightdarklite)
(cryptonight-dark-lite,cryptonightdarklite)
(cryptonightfast,cryptonightfast)
(cryptonight-fast,cryptonightfast)
(cryptonightlite,cryptonightlite)
(cryptonight-lite,cryptonightlite)
(cryptonightturtle,cryptonightturtle)
(cryptonight-turtle,cryptonightturtle)
(cryptonightturtlelite,cryptonightturtlelite)
(cryptonight-turtle-lite,cryptonightturtlelite)
(cryptonightarmor,cryptonightarmor)
(cryptonight-armor,cryptonightarmor)
(cryptonightarmorlite,cryptonightarmorlite)
(cryptonight-armor-lite,cryptonightarmorlite)
(cryptonightsoftshell,cryptonightsoftshell)
(cryptonight-soft-shell,cryptonightsoftshell)
(chukwa,chukwa)
(fresh,fresh)
(fugue,fugue)
(groestl,groestl)
(groestlmyriad,groestlmyriad)
(hefty1,hefty1)
(keccak,keccak)
(nist5,nist5)
(quark,quark)
(qubit,qubit)
(scrypt,scrypt)
(scryptjane,scryptjane)
(scryptn,scryptn)
(sha1,sha1)
(shavite3,shavite3)
(skein,skein)
(x11,x11)
(x13,x13)
(x15,x15)
