(encrypt,Encrypt)
(decrypt,Decrypt)
(open,Open)
(validateKeySize,ValidateKeySize)
(validateIvSize,ValidateIvSize)
(selfTest,SelfTest)
(isBlockAlgorithmMode,IsBlockAlgorithmMode)
(isBlockAlgorithm,IsBlockAlgorithm)
(isBlockMode,IsBlockMode)
(getBlockSize,GetBlockSize)
(getKeySize,GetKeySize)
(getSupportedKeySizes,GetSupportedKeySizes)
(getIvSize,GetIvSize)
(hasIv,HasIv)
(getAlgorithmName,GetAlgorithmName)
(getModeName,GetModeName)
(generateIv,GenerateIv)
(getAlgorithmNames,GetAlgorithmNames)
(getModeNames,GetModeNames)
