(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(getValue,GetValue)
(setValue,SetValue)
(getUnit,GetUnit)
(setUnit,SetUnit)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getLength,GetLength)
(getKey,GetKey)
(setKey,SetKey)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(success,ReturnCallback)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(start,FSEvents)
(stop,FSEvents)
