(SDL_SetClipboardText,_export_SDL_SetClipboardText)
(SDL_SetHintWithPriority,_export_SDL_SetHintWithPriority)
(SDL_SetHint,_export_SDL_SetHint)
(SDL_RenderSetLogicalSize,_export_SDL_RenderSetLogicalSize)
(SDL_RenderSetViewport,_export_SDL_RenderSetViewport)
(SDL_RenderSetClipRect,_export_SDL_RenderSetClipRect)
(SDL_RenderSetScale,_export_SDL_RenderSetScale)
(SDL_SetRenderDrawColor,_export_SDL_SetRenderDrawColor)
(SDL_SetRenderDrawBlendMode,_export_SDL_SetRenderDrawBlendMode)
(SDL_SetSurfaceBlendMode,_export_SDL_SetSurfaceBlendMode)
(SDL_SetWindowTitle,_export_SDL_SetWindowTitle)
(SDL_SetWindowIcon,_export_SDL_SetWindowIcon)
(SDL_SetWindowPosition,_export_SDL_SetWindowPosition)
(SDL_SetWindowSize,_export_SDL_SetWindowSize)
(SDL_SetWindowMinimumSize,_export_SDL_SetWindowMinimumSize)
(SDL_SetWindowMaximumSize,_export_SDL_SetWindowMaximumSize)
(SDL_SetWindowBordered,_export_SDL_SetWindowBordered)
(SDL_SetWindowFullscreen,_export_SDL_SetWindowFullscreen)
(SDL_SetWindowGrab,_export_SDL_SetWindowGrab)
(SDL_SetWindowBrightness,_export_SDL_SetWindowBrightness)
(SDL_GL_SetAttribute,_export_SDL_GL_SetAttribute)
(SDL_GL_SetSwapInterval,_export_SDL_GL_SetSwapInterval)
(0,value)
(SDL_Init,_export_SDL_Init)
(SDL_InitSubSystem,_export_SDL_InitSubSystem)
(SDL_QuitSubSystem,_export_SDL_QuitSubSystem)
(SDL_WasInit,_export_SDL_WasInit)
(SDL_Quit,_export_SDL_Quit)
(SDL_GetClipboardText,_export_SDL_GetClipboardText)
(SDL_HasClipboardText,_export_SDL_HasClipboardText)
(SDL_GetError,_export_SDL_GetError)
(SDL_ClearError,_export_SDL_ClearError)
(SDL_PollEvent,_export_SDL_PollEvent)
(SDL_GetHint,_export_SDL_GetHint)
(SDL_ClearHints,_export_SDL_ClearHints)
(SDL_NumJoysticks,_export_SDL_NumJoysticks)
(SDL_JoystickNameForIndex,_export_SDL_JoystickNameForIndex)
(SDL_JoystickOpen,_export_SDL_JoystickOpen)
(SDL_JoystickName,_export_SDL_JoystickName)
(SDL_JoystickGetAttached,_export_SDL_JoystickGetAttached)
(SDL_JoystickInstanceID,_export_SDL_JoystickInstanceID)
(SDL_JoystickNumAxes,_export_SDL_JoystickNumAxes)
(SDL_JoystickNumBalls,_export_SDL_JoystickNumBalls)
(SDL_JoystickNumHats,_export_SDL_JoystickNumHats)
(SDL_JoystickNumButtons,_export_SDL_JoystickNumButtons)
(SDL_JoystickUpdate,_export_SDL_JoystickUpdate)
(SDL_JoystickEventState,_export_SDL_JoystickEventState)
(SDL_JoystickGetAxis,_export_SDL_JoystickGetAxis)
(SDL_JoystickGetBall,_export_SDL_JoystickGetBall)
(SDL_JoystickGetHat,_export_SDL_JoystickGetHat)
(SDL_JoystickGetButton,_export_SDL_JoystickGetButton)
(SDL_JoystickClose,_export_SDL_JoystickClose)
(SDL_PIXELFLAG,_export_SDL_PIXELFLAG)
(SDL_PIXELTYPE,_export_SDL_PIXELTYPE)
(SDL_PIXELORDER,_export_SDL_PIXELORDER)
(SDL_PIXELLAYOUT,_export_SDL_PIXELLAYOUT)
(SDL_BITSPERPIXEL,_export_SDL_BITSPERPIXEL)
(SDL_BYTESPERPIXEL,_export_SDL_BYTESPERPIXEL)
(SDL_ISPIXELFORMAT_INDEXED,_export_SDL_ISPIXELFORMAT_INDEXED)
(SDL_ISPIXELFORMAT_ALPHA,_export_SDL_ISPIXELFORMAT_ALPHA)
(SDL_ISPIXELFORMAT_FOURCC,_export_SDL_ISPIXELFORMAT_FOURCC)
(SDL_GetPixelFormatName,_export_SDL_GetPixelFormatName)
(SDL_PixelFormatEnumToMasks,_export_SDL_PixelFormatEnumToMasks)
(SDL_MasksToPixelFormatEnum,_export_SDL_MasksToPixelFormatEnum)
(SDL_AllocFormat,_export_SDL_AllocFormat)
