(paramsSync,paramsSync)
(params,params)
(kdfSync,kdfSync)
(kdf,kdf)
(verifySync,kdfVerifySync)
(verify,kdfVerify)
(hashSync,hashSync)
(hash,hash)
(update,Update)
(digest,Digest)
(initialize,Initialize)
(absorb,Absorb)
(absorbLastFewBits,AbsorbLastFewBits)
(squeeze,Squeeze)
(copy,Copy)
(privateKeyVerify,privateKeyVerify)
(privateKeyExport,privateKeyExport)
(privateKeyImport,privateKeyImport)
(privateKeyNegate,privateKeyNegate)
(privateKeyModInverse,privateKeyModInverse)
(privateKeyTweakAdd,privateKeyTweakAdd)
(privateKeyTweakMul,privateKeyTweakMul)
(publicKeyCreate,publicKeyCreate)
(publicKeyConvert,publicKeyConvert)
(publicKeyVerify,publicKeyVerify)
(publicKeyTweakAdd,publicKeyTweakAdd)
(publicKeyTweakMul,publicKeyTweakMul)
(publicKeyCombine,publicKeyCombine)
(signatureNormalize,signatureNormalize)
(signatureExport,signatureExport)
(signatureImport,signatureImport)
(signatureImportLax,signatureImportLax)
(sign,sign)
(verify,verify)
(recover,recover)
(ecdh,ecdh)
(ecdhUnsafe,ecdhUnsafe)
