(getDelegatorAddress,getDelegatorAddress)
(getSrcValidatorAddress,getSrcValidatorAddress)
(getDstValidatorAddress,getDstValidatorAddress)
(getEntries,getEntries)
(isNull,isNull)
(getId,getId)
(getType,getType)
(getSender,getSender)
(getFee,getFee)
(getNote,getNote)
(getRound,getRound)
(getSenderRewards,getSenderRewards)
(getReceiverRewards,getReceiverRewards)
(getCloseRewards,getCloseRewards)
(setSender,setSender)
(setFee,setFee)
(setNote,setNote)
(setPaymentInfo,setPaymentInfo)
(getPaymentInfo,getPaymentInfo)
(setParticipationInfo,setParticipationInfo)
(getParticipationInfo,getParticipationInfo)
(setAssetConfigurationInfo,setAssetConfigurationInfo)
(getAssetConfigurationInfo,getAssetConfigurationInfo)
(setAssetTransferInfo,setAssetTransferInfo)
(getAssetTransferInfo,getAssetTransferInfo)
(setAssetFreezeInfo,setAssetFreezeInfo)
(getAssetFreezeInfo,getAssetFreezeInfo)
(serialize,serialize)
(setSignature,setSignature)
(getTransaction,getTransaction)
(getInternalTransactions,getInternalTransactions)
(getHash,getHash)
(getHeight,getHeight)
(getTime,getTime)
(New,New)
(getSpendableBalance,getSpendableBalance)
(getAsset,getAsset)
(hasAsset,hasAsset)
(isAmountValid,isAmountValid)
(getAssetBalance,getAssetBalance)
(getAssetBalanceHistory,getAssetBalanceHistory)
(getAssetsBalances,getAssetsBalances)
(getCreatedAssets,getCreatedAssets)
(getPendingRewards,getPendingRewards)
(getTotalRewards,getTotalRewards)
(getFeeEstimate,getFeeEstimate)
(buildRawSignedTransaction,buildRawSignedTransaction)
(broadcastRawTransaction,broadcastRawTransaction)
(broadcastTransaction,broadcastTransaction)
(createTransaction,createTransaction)
(getString,getString)
(getInt,getInt)
(getLong,getLong)
(getBoolean,getBoolean)
(getStringArray,getStringArray)
(getData,getData)
(contains,contains)
(edit,edit)
(bitcoin,bitcoin)
(cosmos,cosmos)
(ethereum,ethereum)
(ripple,ripple)
(tezos,tezos)
(getNonce,getNonce)
(getGasPrice,getGasPrice)
(getGasLimit,getGasLimit)
(getUsedGas,getUsedGas)
(getReceiver,getReceiver)
(getValue,getValue)
(getOperationType,getOperationType)
(getStatus,getStatus)
(getBlockHeight,getBlockHeight)
(createInstance,createInstance)
(computePubKey,computePubKey)
(computeUncompressedPubKey,computeUncompressedPubKey)
(sign,sign)
(verify,verify)
(newInstance,newInstance)
(getUTXO,getUTXO)
(getUTXOCount,getUTXOCount)
(buildTransaction,buildTransaction)
(getFees,getFees)
(getAddresses,getAddresses)
(getAllAddresses,getAllAddresses)
(setDERSignature,setDERSignature)
(getDate,getDate)
(getSequence,getSequence)
(getLedgerSequence,getLedgerSequence)
(getSigningPubKey,getSigningPubKey)
(getMemos,getMemos)
(addMemo,addMemo)
(getDestinationTag,getDestinationTag)
(onConnect,onConnect)
(onClose,onClose)
(onMessage,onMessage)
(onError,onError)
(getConnectionId,getConnectionId)
(getInputs,getInputs)
(getOutputs,getOutputs)
(getBlock,getBlock)
(getLockTime,getLockTime)
(getTimestamp,getTimestamp)
(getVersion,getVersion)
(serializeOutputs,serializeOutputs)
(getWitness,getWitness)
(getEstimatedSize,getEstimatedSize)
(setSignatures,setSignatures)
(setDERSignatures,setDERSignatures)
(getDepth,getDepth)
(getChildNum,getChildNum)
(getUnhardenedChildNum,getUnhardenedChildNum)
(isHardened,isHardened)
(toString,toString)
(getParent,getParent)
(toArray,toArray)
(parse,parse)
(getIndex,getIndex)
(queryOperations,queryOperations)
(getBalance,getBalance)
(getBalanceHistory,getBalanceHistory)
(isSynchronizing,isSynchronizing)
(synchronize,synchronize)
(getPreferences,getPreferences)
(getLogger,getLogger)
(getOperationPreferences,getOperationPreferences)
(asBitcoinLikeAccount,asBitcoinLikeAccount)
(asCosmosLikeAccount,asCosmosLikeAccount)
(asEthereumLikeAccount,asEthereumLikeAccount)
(asRippleLikeAccount,asRippleLikeAccount)
