(evaluate,Evaluate)
(getType,GetType)
(isFeatureConstant,IsFeatureConstant)
(isZoomConstant,IsZoomConstant)
(serialize,Serialize)
(parse,Parse)
(setBackendType,SetBackendType)
(load,Load)
(loaded,Loaded)
(render,Render)
(release,Release)
(cancel,Cancel)
(addSource,AddSource)
(removeSource,RemoveSource)
(addLayer,AddLayer)
(removeLayer,RemoveLayer)
(addImage,AddImage)
(removeImage,RemoveImage)
(setLayerZoomRange,SetLayerZoomRange)
(setLayoutProperty,SetLayerProperty)
(setPaintProperty,SetLayerProperty)
(setFilter,SetFilter)
(setCenter,SetCenter)
(setZoom,SetZoom)
(setBearing,SetBearing)
(setPitch,SetPitch)
(setLight,SetLight)
(setAxonometric,SetAxonometric)
(setXSkew,SetXSkew)
(setYSkew,SetYSkew)
(setFeatureState,SetFeatureState)
(getFeatureState,GetFeatureState)
(removeFeatureState,RemoveFeatureState)
(dumpDebugLogs,DumpDebugLogs)
(queryRenderedFeatures,QueryRenderedFeatures)
(respond,HandleCallback)
