(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(getExtensionPropertiesAsync,GetExtensionPropertiesAsync)
(getPublicFolderAsync,GetPublicFolderAsync)
(appInfo,AppInfoGetter)
(description,DescriptionGetter)
(displayName,DisplayNameGetter)
(id,IdGetter)
(package,PackageGetter)
(castFrom,CastFrom)
(findAllAsync,FindAllAsync)
(requestRemovePackageAsync,RequestRemovePackageAsync)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(open,Open)
(appExtensionName,AppExtensionNameGetter)
(extensions,ExtensionsGetter)
