(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(invitees,InviteesGetter)
(hasInvitees,HasInviteesGetter)
(calendarId,CalendarIdGetter)
(localId,LocalIdGetter)
(originalStartTime,OriginalStartTimeGetter)
(changeNumber,ChangeNumberGetter)
(castFrom,CastFrom)
(registerSyncManagerAsync,RegisterSyncManagerAsync)
(findAppointmentsAsync,FindAppointmentsAsync)
(findExceptionsFromMasterAsync,FindExceptionsFromMasterAsync)
(findAllInstancesAsync,FindAllInstancesAsync)
(getAppointmentAsync,GetAppointmentAsync)
(getAppointmentInstanceAsync,GetAppointmentInstanceAsync)
(findUnexpandedAppointmentsAsync,FindUnexpandedAppointmentsAsync)
(deleteAsync,DeleteAsync)
(saveAsync,SaveAsync)
(deleteAppointmentAsync,DeleteAppointmentAsync)
(deleteAppointmentInstanceAsync,DeleteAppointmentInstanceAsync)
(saveAppointmentAsync,SaveAppointmentAsync)
(tryCreateOrUpdateAppointmentAsync,TryCreateOrUpdateAppointmentAsync)
(tryCancelMeetingAsync,TryCancelMeetingAsync)
(tryForwardMeetingAsync,TryForwardMeetingAsync)
(tryProposeNewTimeForMeetingAsync,TryProposeNewTimeForMeetingAsync)
(tryUpdateMeetingResponseAsync,TryUpdateMeetingResponseAsync)
(sourceDisplayName,SourceDisplayNameGetter)
(syncManager,SyncManagerGetter)
(userDataAccountId,UserDataAccountIdGetter)
(syncAsync,SyncAsync)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(date,DateGetter)
(type,TypeGetter)
(appointment,AppointmentGetter)
(exceptionProperties,ExceptionPropertiesGetter)
(isDeleted,IsDeletedGetter)
(getForUser,GetForUser)
(showAddAppointmentAsync,ShowAddAppointmentAsync)
(showReplaceAppointmentAsync,ShowReplaceAppointmentAsync)
(showRemoveAppointmentAsync,ShowRemoveAppointmentAsync)
(showTimeFrameAsync,ShowTimeFrameAsync)
(showAppointmentDetailsAsync,ShowAppointmentDetailsAsync)
(showEditNewAppointmentAsync,ShowEditNewAppointmentAsync)
(requestStoreAsync,RequestStoreAsync)
(user,UserGetter)
(allDay,AllDayGetter)
(allowNewTimeProposal,AllowNewTimeProposalGetter)
(busyStatus,BusyStatusGetter)
(defaultProperties,DefaultPropertiesGetter)
(details,DetailsGetter)
(duration,DurationGetter)
(recurrence,RecurrenceGetter)
(isCanceledMeeting,IsCanceledMeetingGetter)
(isOrganizedByUser,IsOrganizedByUserGetter)
(isResponseRequested,IsResponseRequestedGetter)
(location,LocationGetter)
(onlineMeetingLink,OnlineMeetingLinkGetter)
(organizer,OrganizerGetter)
(reminder,ReminderGetter)
(replyTime,ReplyTimeGetter)
(sensitivity,SensitivityGetter)
(startTime,StartTimeGetter)
(subject,SubjectGetter)
(uri,UriGetter)
(userResponse,UserResponseGetter)
(detailsKind,DetailsKindGetter)
(remoteChangeNumber,RemoteChangeNumberGetter)
(recurrenceType,RecurrenceTypeGetter)
(calendarIdentifier,CalendarIdentifierGetter)
(getChangeTracker,GetChangeTracker)
(createAppointmentCalendarAsync,CreateAppointmentCalendarAsync)
(getAppointmentCalendarAsync,GetAppointmentCalendarAsync)
(findAppointmentCalendarsAsync,FindAppointmentCalendarsAsync)
(findConflictAsync,FindConflictAsync)
(moveAppointmentAsync,MoveAppointmentAsync)
(findLocalIdsFromRoamingIdAsync,FindLocalIdsFromRoamingIdAsync)
(changeTracker,ChangeTrackerGetter)
(changeType,ChangeTypeGetter)
(appointmentCalendar,AppointmentCalendarGetter)
(acceptChanges,AcceptChanges)
(acceptChangesThrough,AcceptChangesThrough)
(readBatchAsync,ReadBatchAsync)
(getChangeReader,GetChangeReader)
(enable,Enable)
(reset,Reset)
(isTracking,IsTrackingGetter)
(complete,Complete)
(getDeferral,GetDeferral)
(calendarIds,CalendarIdsGetter)
(fetchProperties,FetchPropertiesGetter)
