(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(minimumReportInterval,MinimumReportIntervalGetter)
(reportInterval,ReportIntervalGetter)
(subscribedActivities,SubscribedActivitiesGetter)
(supportedActivities,SupportedActivitiesGetter)
(castFrom,CastFrom)
(getAccessStatus,GetAccessStatus)
(requestAsync,RequestAsync)
(arguments,ArgumentsGetter)
(removeAccess,RemoveAccess)
(setTrigger,SetTrigger)
(addCondition,AddCondition)
(register,Register)
(setTaskEntryPointClsid,SetTaskEntryPointClsid)
(checkResult,CheckResult)
(instanceId,InstanceIdGetter)
(complete,Complete)
(progress,ProgressGetter)
(unregister,Unregister)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(name,NameGetter)
(taskId,TaskIdGetter)
(trigger,TriggerGetter)
(taskGroup,TaskGroupGetter)
(getTaskGroup,GetTaskGroup)
(allTasks,AllTasksGetter)
(allTaskGroups,AllTaskGroupsGetter)
(id,IdGetter)
(currentBackgroundWorkCost,CurrentBackgroundWorkCostGetter)
(advertisement,AdvertisementGetter)
(maxOutOfRangeTimeout,MaxOutOfRangeTimeoutGetter)
(maxSamplingInterval,MaxSamplingIntervalGetter)
(minOutOfRangeTimeout,MinOutOfRangeTimeoutGetter)
(minSamplingInterval,MinSamplingIntervalGetter)
(canRequestUserInput,CanRequestUserInputGetter)
(updateRequest,UpdateRequestGetter)
(updateTarget,UpdateTargetGetter)
(waitInterval,WaitIntervalGetter)
(recurrence,RecurrenceGetter)
(triggerId,TriggerIdGetter)
(canMaintainConnection,CanMaintainConnectionGetter)
(deviceId,DeviceIdGetter)
(oneShot,OneShotGetter)
(triggerQualifier,TriggerQualifierGetter)
(characteristic,CharacteristicGetter)
(eventTriggeringMode,EventTriggeringModeGetter)
(service,ServiceGetter)
(error,ErrorGetter)
(run,Run)
(getDeferral,GetDeferral)
(suspendedCount,SuspendedCountGetter)
(task,TaskGetter)
(triggerDetails,TriggerDetailsGetter)
(getThrottleCount,GetThrottleCount)
(user,UserGetter)
(triggerType,TriggerTypeGetter)
(freshnessTime,FreshnessTimeGetter)
(networkAccountId,NetworkAccountIdGetter)
(inboundConnection,InboundConnectionGetter)
(outboundConnection,OutboundConnectionGetter)
(isWakeFromLowPowerSupported,IsWakeFromLowPowerSupportedGetter)
(create,Create)
(createFromLibraries,CreateFromLibraries)
(conditionType,ConditionTypeGetter)
