(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(isChatCapable,IsChatCapableGetter)
(isFileTransferCapable,IsFileTransferCapableGetter)
(isGeoLocationPushCapable,IsGeoLocationPushCapableGetter)
(isIntegratedMessagingCapable,IsIntegratedMessagingCapableGetter)
(isOnline,IsOnlineGetter)
(castFrom,CastFrom)
(getMessageReader,GetMessageReader)
(notifyLocalParticipantComposing,NotifyLocalParticipantComposing)
(notifyRemoteParticipantComposing,NotifyRemoteParticipantComposing)
(deleteAsync,DeleteAsync)
(markMessagesAsReadAsync,MarkMessagesAsReadAsync)
(saveAsync,SaveAsync)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(hasUnreadMessages,HasUnreadMessagesGetter)
(id,IdGetter)
(mostRecentMessageId,MostRecentMessageIdGetter)
(participants,ParticipantsGetter)
(threadingInfo,ThreadingInfoGetter)
(itemKind,ItemKindGetter)
(readBatchAsync,ReadBatchAsync)
(recipientSendStatuses,RecipientSendStatusesGetter)
(recipients,RecipientsGetter)
(transportFriendlyName,TransportFriendlyNameGetter)
(attachments,AttachmentsGetter)
(isReplyDisabled,IsReplyDisabledGetter)
(isSimMessage,IsSimMessageGetter)
(recipientsDeliveryInfos,RecipientsDeliveryInfosGetter)
(changeType,ChangeTypeGetter)
(message,MessageGetter)
(acceptChanges,AcceptChanges)
(acceptChangesThrough,AcceptChangesThrough)
(enable,Enable)
(getChangeReader,GetChangeReader)
(reset,Reset)
(complete,Complete)
(getDeferral,GetDeferral)
(showSmsSettings,ShowSmsSettings)
(chatMessage,ChatMessageGetter)
(shouldDisplayToast,ShouldDisplayToastGetter)
(shouldUpdateActionCenter,ShouldUpdateActionCenterGetter)
(shouldUpdateBadge,ShouldUpdateBadgeGetter)
(shouldUpdateDetailText,ShouldUpdateDetailTextGetter)
(validateMessage,ValidateMessage)
(getConversationReader,GetConversationReader)
(getSearchReader,GetSearchReader)
(deleteMessageAsync,DeleteMessageAsync)
(downloadMessageAsync,DownloadMessageAsync)
(getMessageAsync,GetMessageAsync)
(markMessageReadAsync,MarkMessageReadAsync)
(retrySendMessageAsync,RetrySendMessageAsync)
(sendMessageAsync,SendMessageAsync)
(forwardMessageAsync,ForwardMessageAsync)
(getConversationAsync,GetConversationAsync)
(getConversationFromThreadingInfoAsync,GetConversationFromThreadingInfoAsync)
(getMessageByRemoteIdAsync,GetMessageByRemoteIdAsync)
(getUnseenCountAsync,GetUnseenCountAsync)
(markAsSeenAsync,MarkAsSeenAsync)
(saveMessageAsync,SaveMessageAsync)
(tryCancelDownloadMessageAsync,TryCancelDownloadMessageAsync)
(tryCancelSendMessageAsync,TryCancelSendMessageAsync)
(getMessageBySyncIdAsync,GetMessageBySyncIdAsync)
(changeTracker,ChangeTrackerGetter)
(kind,KindGetter)
(requestSetAsNotificationProviderAsync,RequestSetAsNotificationProviderAsync)
(isActive,IsActiveGetter)
(isAppSetAsNotificationProvider,IsAppSetAsNotificationProviderGetter)
(transportId,TransportIdGetter)
(configuration,ConfigurationGetter)
(transportKind,TransportKindGetter)
(extendedProperties,ExtendedPropertiesGetter)
(maxAttachmentCount,MaxAttachmentCountGetter)
(maxMessageSizeInKilobytes,MaxMessageSizeInKilobytesGetter)
(maxRecipientCount,MaxRecipientCountGetter)
(supportedVideoFormat,SupportedVideoFormatGetter)
(maxPartCount,MaxPartCountGetter)
(partCount,PartCountGetter)
(remainingCharacterCountInPart,RemainingCharacterCountInPartGetter)
(status,StatusGetter)
(isErrorPermanent,IsErrorPermanentGetter)
(transportErrorCode,TransportErrorCodeGetter)
(transportErrorCodeCategory,TransportErrorCodeCategoryGetter)
(transportInterpretedErrorCode,TransportInterpretedErrorCodeGetter)
(isAccountAssociated,IsAccountAssociated)
(startSync,StartSync)
(associateAccountAsync,AssociateAccountAsync)
(unassociateAccountAsync,UnassociateAccountAsync)
(setConfigurationAsync,SetConfigurationAsync)
(sendResponseAsync,SendResponseAsync)
(sendResponseWithPinAsync,SendResponseWithPinAsync)
(actions,ActionsGetter)
(isPinRequired,IsPinRequiredGetter)
(text,TextGetter)
(title,TitleGetter)
(label,LabelGetter)
(isMessageAvailable,IsMessageAvailableGetter)
(getEndUserMessageManager,GetEndUserMessageManager)
(serviceKind,ServiceKindGetter)
(isStoreAndForwardEnabled,IsStoreAndForwardEnabled)
(isServiceKindSupported,IsServiceKindSupported)
(maxFileSizeInKilobytes,MaxFileSizeInKilobytesGetter)
(maxGroupMessageSizeInKilobytes,MaxGroupMessageSizeInKilobytesGetter)
(warningFileSizeInKilobytes,WarningFileSizeInKilobytesGetter)
(isComposing,IsComposingGetter)
(participantAddress,ParticipantAddressGetter)
