(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(launchAsync,LaunchAsync)
(launchForUserAsync,LaunchForUserAsync)
(displayInfo,DisplayInfoGetter)
(appUserModelId,AppUserModelIdGetter)
(castFrom,CastFrom)
(createNewView,CreateNewView)
(incrementApplicationUseCount,IncrementApplicationUseCount)
(decrementApplicationUseCount,DecrementApplicationUseCount)
(exit,Exit)
(enablePrelaunch,EnablePrelaunch)
(getCurrentView,GetCurrentView)
(run,Run)
(runWithActivationFactories,RunWithActivationFactories)
(id,IdGetter)
(properties,PropertiesGetter)
(mainView,MainViewGetter)
(views,ViewsGetter)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(coreWindow,CoreWindowGetter)
(isHosted,IsHostedGetter)
(isMain,IsMainGetter)
(dispatcher,DispatcherGetter)
(isComponent,IsComponentGetter)
(titleBar,TitleBarGetter)
(dispatcherQueue,DispatcherQueueGetter)
(height,HeightGetter)
(isVisible,IsVisibleGetter)
(systemOverlayLeftInset,SystemOverlayLeftInsetGetter)
(systemOverlayRightInset,SystemOverlayRightInsetGetter)
(getDeferral,GetDeferral)
(initialize,Initialize)
(setWindow,SetWindow)
(load,Load)
(uninitialize,Uninitialize)
(createView,CreateView)
(propagate,Propagate)
(handled,HandledGetter)
(unhandledError,UnhandledErrorGetter)
