(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(castFrom,CastFrom)
(clearHistory,ClearHistory)
(deleteItemFromHistory,DeleteItemFromHistory)
(setHistoryItemAsContent,SetHistoryItemAsContent)
(isHistoryEnabled,IsHistoryEnabled)
(isRoamingEnabled,IsRoamingEnabled)
(setContentWithOptions,SetContentWithOptions)
(getContent,GetContent)
(setContent,SetContent)
(flush,Flush)
(historyFormats,HistoryFormatsGetter)
(roamingFormats,RoamingFormatsGetter)
(content,ContentGetter)
(id,IdGetter)
(timestamp,TimestampGetter)
(items,ItemsGetter)
(status,StatusGetter)
(setData,SetData)
(setDataProvider,SetDataProvider)
(setText,SetText)
(setUri,SetUri)
(setHtmlFormat,SetHtmlFormat)
(setRtf,SetRtf)
(setBitmap,SetBitmap)
(setStorageItems,SetStorageItems)
(setApplicationLink,SetApplicationLink)
(setWebLink,SetWebLink)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(properties,PropertiesGetter)
(resourceMap,ResourceMapGetter)
(fileTypes,FileTypesGetter)
(applicationListingUri,ApplicationListingUriGetter)
(applicationName,ApplicationNameGetter)
(description,DescriptionGetter)
(thumbnail,ThumbnailGetter)
(title,TitleGetter)
(contentSourceApplicationLink,ContentSourceApplicationLinkGetter)
(contentSourceWebLink,ContentSourceWebLinkGetter)
(logoBackgroundColor,LogoBackgroundColorGetter)
(packageFamilyName,PackageFamilyNameGetter)
(square30x30Logo,Square30x30LogoGetter)
(enterpriseId,EnterpriseIdGetter)
(contentSourceUserActivityJson,ContentSourceUserActivityJsonGetter)
(isFromRoamingClipboard,IsFromRoamingClipboardGetter)
(reportOperationCompleted,ReportOperationCompleted)
(contains,Contains)
(unlockAndAssumeEnterpriseIdentity,UnlockAndAssumeEnterpriseIdentity)
(setAcceptedFormatId,SetAcceptedFormatId)
(getDataAsync,GetDataAsync)
(getTextAsync,GetTextAsync)
(getUriAsync,GetUriAsync)
(getHtmlFormatAsync,GetHtmlFormatAsync)
(getResourceMapAsync,GetResourceMapAsync)
(getRtfAsync,GetRtfAsync)
(getBitmapAsync,GetBitmapAsync)
(getStorageItemsAsync,GetStorageItemsAsync)
(getApplicationLinkAsync,GetApplicationLinkAsync)
(getWebLinkAsync,GetWebLinkAsync)
(requestAccessAsync,RequestAccessAsync)
(availableFormats,AvailableFormatsGetter)
(requestedOperation,RequestedOperationGetter)
(complete,Complete)
(getDeferral,GetDeferral)
(deadline,DeadlineGetter)
(formatId,FormatIdGetter)
(failWithDisplayText,FailWithDisplayText)
(request,RequestGetter)
(showShareUI,ShowShareUI)
(isSupported,IsSupported)
(getForCurrentView,GetForCurrentView)
(getStaticFragment,GetStaticFragment)
(createHtmlFormat,CreateHtmlFormat)
(operation,OperationGetter)
(acceptedFormatId,AcceptedFormatIdGetter)
(shareTarget,ShareTargetGetter)
(backgroundColor,BackgroundColorGetter)
(displayIcon,DisplayIconGetter)
(reportCompleted,ReportCompleted)
(data,DataGetter)
(provider,ProviderGetter)
(providers,ProvidersGetter)
(appUserModelId,AppUserModelIdGetter)
(shareProvider,ShareProviderGetter)
(addFile,AddFile)
(removeFile,RemoveFile)
(bitmap,BitmapGetter)
(html,HtmlGetter)
(rtf,RtfGetter)
(storageItems,StorageItemsGetter)
(text,TextGetter)
(uri,UriGetter)
(applicationLink,ApplicationLinkGetter)
(webLink,WebLinkGetter)
(userActivityJsonArray,UserActivityJsonArrayGetter)
