(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(requestUnlock,RequestUnlock)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(castFrom,CastFrom)
(getForCurrentView,GetForCurrentView)
(launchApp,LaunchApp)
(automationName,AutomationNameGetter)
(glyph,GlyphGetter)
(logo,LogoGetter)
(number,NumberGetter)
(alarmIcon,AlarmIconGetter)
(badges,BadgesGetter)
(detailText,DetailTextGetter)
(lockScreenImage,LockScreenImageGetter)
(complete,Complete)
(getDeferral,GetDeferral)
(deadline,DeadlineGetter)
