(enableThreadSafety,LockMasterEnable)
(setThreadSafetyStatus,LockMasterSetStatus)
(getThreadSafetyStatus,LockMasterGetStatus)
(getThreadSafetyDiagnostics,LockMasterGetDiagnostics)
(getSelfFreeingInstanceCount,GetSelfFreeingInstanceCount)
(getNonSelfFreeingConstructedCount,GetNonSelfFreeingConstructedCount)
(version,Version)
(flags,Flags)
(revert,Revert)
(commit,Commit)
(setLocking,SetLocking)
(name,Name)
(value,Value)
(level,Level)
(status,Status)
(headToIndex,HeadToIndex)
(indexToWorkdir,IndexToWorkdir)
(containsNul,ContainsNul)
(grow,Grow)
(isBinary,IsBinary)
(set,Set)
(ptr,Ptr)
(asize,Asize)
(size,Size)
(addRule,AddRule)
(clearInternalRules,ClearInternalRules)
(pathIsIgnored,PathIsIgnored)
(message,Message)
(klass,Klass)
(id,Id)
(path,Path)
(mode,Mode)
(idAbbrev,IdAbbrev)
(containsData,ContainsData)
(oldFile,OldFile)
(newFile,NewFile)
(append,Append)
(delete,Delete)
(drop,Drop)
(entryByIndex,EntryByindex)
(entrycount,Entrycount)
(read,Read)
(rename,Rename)
(write,Write)
(byIndex,Byindex)
(file,File)
(foreach,Foreach)
(foreachExt,ForeachExt)
(shouldIgnore,ShouldIgnore)
(diffEntry,DiffEntry)
(entry,Entry)
(failedEntry,FailedEntry)
(failedEntrycount,FailedEntrycount)
(statCalls,StatCalls)
(oidCalculations,OidCalculations)
(existsPrefix,ExistsPrefix)
(hashfile,Hashfile)
(open,Open)
(read,OdbRead)
(readPrefix,ReadPrefix)
(applyToBlob,ApplyToBlob)
(applyToData,ApplyToData)
(applyToFile,ApplyToFile)
(load,Load)
(register,GitFilterRegister)
(unregister,GitFilterUnregister)
(totalObjects,TotalObjects)
(indexedObjects,IndexedObjects)
(receivedObjects,ReceivedObjects)
(localObjects,LocalObjects)
(totalDeltas,TotalDeltas)
(indexedDeltas,IndexedDeltas)
(receivedBytes,ReceivedBytes)
(merge,Merge)
(base,Base)
(bases,Bases)
(commits,Commits)
(fileInitInput,FileInitInput)
(trees,Trees)
(annotationCreate,AnnotationCreate)
(create,Create)
(createLightweight,CreateLightweight)
(dup,Dup)
(list,List)
(listMatch,ListMatch)
(lookup,Lookup)
(lookupPrefix,LookupPrefix)
(owner,Owner)
(peel,Peel)
(tagger,Tagger)
(target,Target)
(targetId,TargetId)
(targetType,TargetType)
(defaultNew,DefaultNew)
(hasUsername,HasUsername)
(sshKeyFromAgent,SshKeyFromAgent)
(sshKeyMemoryNew,SshKeyMemoryNew)
(sshKeyNew,SshKeyNew)
(usernameNew,UsernameNew)
(userpassPlaintextNew,UserpassPlaintextNew)
(clone,Clone)
(addMacro,AddMacro)
(cacheFlush,CacheFlush)
(get,Get)
(getMany,GetMany)
(origin,Origin)
(oldLineno,OldLineno)
(newLineno,NewLineno)
(numLines,NumLines)
(contentLen,ContentLen)
(contentOffset,ContentOffset)
(content,Content)
(action,Action)
(filemode,Filemode)
(author,Author)
(commitCreate,CommitCreate)
(commitIteratorNew,CommitIteratorNew)
(commitRead,CommitRead)
(commitRemove,CommitRemove)
(committer,Committer)
(remove,Remove)
(linesInHunk,LinesInHunk)
(finalCommitId,FinalCommitId)
(finalStartLineNumber,FinalStartLineNumber)
(finalSignature,FinalSignature)
(origCommitId,OrigCommitId)
(origPath,OrigPath)
(origStartLineNumber,OrigStartLineNumber)
(origSignature,OrigSignature)
(filesChanged,FilesChanged)
(insertions,Insertions)
(deletions,Deletions)
(toBuf,DiffStatsToBuf)
(add,Add)
(isLocked,IsLocked)
(isPrunable,IsPrunable)
(lock,Lock)
(openFromRepository,OpenFromRepository)
(prune,Prune)
(unlock,Unlock)
(validate,Validate)
(seconds,Seconds)
(nanoseconds,Nanoseconds)
(hide,Hide)
(hideGlob,HideGlob)
(hideHead,HideHead)
(hideRef,HideRef)
(next,Next)
(push,Push)
(pushGlob,PushGlob)
(pushHead,PushHead)
(pushRange,PushRange)
(pushRef,PushRef)
(repository,Repository)
(reset,Reset)
(simplifyFirstParent,SimplifyFirstParent)
(sorting,Sorting)
(fastWalk,FastWalk)
(fileHistoryWalk,FileHistoryWalk)
(commit,GitCommit)
(createFromAnnotated,CreateFromAnnotated)
(isCheckedOut,IsCheckedOut)
(isHead,IsHead)
(move,Move)
(setUpstream,SetUpstream)
(upstream,Upstream)
(remoteName,RemoteName)
(matchDiff,MatchDiff)
(matchIndex,MatchIndex)
(matchTree,MatchTree)
(matchWorkdir,MatchWorkdir)
(matchesPath,MatchesPath)
(amend,Amend)
(body,Body)
(createBuffer,CreateBuffer)
(createV,CreateV)
(createWithSignature,CreateWithSignature)
(extractSignature,ExtractSignature)
(headerField,HeaderField)
(messageEncoding,MessageEncoding)
(messageRaw,MessageRaw)
(nthGenAncestor,NthGenAncestor)
(parent,Parent)
(parentId,ParentId)
(parentcount,Parentcount)
(rawHeader,RawHeader)
(summary,Summary)
(time,Time)
(timeOffset,TimeOffset)
(tree,Tree)
(treeId,TreeId)
(signature,baton)
(signedData,baton)
(data,Data)
(len,Len)
(fromBlobs,FromBlobs)
(fromDiff,FromDiff)
(getDelta,GetDelta)
(getHunk,GetHunk)
(getLineInHunk,GetLineInHunk)
(lineStats,LineStats)
(numHunks,NumHunks)
(numLinesInHunk,NumLinesInHunk)
(convenientFromDiff,ConvenientFromDiff)
(type,Type)
(hashMd5,HashMd5)
(hashSha1,HashSha1)
(local,Local)
(oid,Oid)
(loid,Loid)
(symrefTarget,SymrefTarget)
(ids,Ids)
(count,Count)
(direction,Direction)
(dst,Dst)
(dstMatches,DstMatches)
(force,Force)
(src,Src)
(srcMatches,SrcMatches)
(string,String)
(compress,Compress)
(certType,CertType)
(compare,Compare)
(createFromFile,CreateFromfile)
(blobToBuffer,BlobToBuffer)
(findSimilar,FindSimilar)
(fromBuffer,FromBuffer)
(getPerfdata,GetPerfdata)
(getStats,GetStats)
(indexToIndex,IndexToIndex)
(isSortedIcase,IsSortedIcase)
(numDeltas,NumDeltas)
(patchid,Patchid)
(toBuf,ToBuf)
(treeToIndex,TreeToIndex)
(treeToTree,TreeToTree)
(treeToWorkdir,TreeToWorkdir)
(treeToWorkdirWithIndex,TreeToWorkdirWithIndex)
(cmp,Cmp)
(createMatching,CreateMatching)
(dwim,Dwim)
(ensureLog,EnsureLog)
(hasLog,HasLog)
(isBranch,IsBranch)
(isNote,IsNote)
(isRemote,IsRemote)
(isTag,IsTag)
(isValidName,IsValidName)
(nameToId,NameToId)
(normalizeName,NormalizeName)
(resolve,Resolve)
(setTarget,SetTarget)
(shorthand,Shorthand)
(symbolicCreate,SymbolicCreate)
(symbolicCreateMatching,SymbolicCreateMatching)
(symbolicSetTarget,SymbolicSetTarget)
(symbolicTarget,SymbolicTarget)
(targetPeel,TargetPeel)
(cleanup,Cleanup)
(commondir,Commondir)
(config,Config)
(detachHead,DetachHead)
(discover,Discover)
(fetchheadForeach,FetchheadForeach)
(getNamespace,GetNamespace)
(head,Head)
(headDetached,HeadDetached)
(headForWorktree,HeadForWorktree)
(headUnborn,HeadUnborn)
(index,Index)
(init,Init)
(initExt,InitExt)
(isBare,IsBare)
(isEmpty,IsEmpty)
(isShallow,IsShallow)
(isWorktree,IsWorktree)
(itemPath,ItemPath)
(mergeheadForeach,MergeheadForeach)
(messageRemove,MessageRemove)
(odb,Odb)
(openBare,OpenBare)
(openExt,OpenExt)
(openFromWorktree,OpenFromWorktree)
(refdb,Refdb)
(setHead,SetHead)
(setHeadDetached,SetHeadDetached)
(setHeadDetachedFromAnnotated,SetHeadDetachedFromAnnotated)
(setIdent,SetIdent)
(setIndex,SetIndex)
(setNamespace,SetNamespace)
(setWorkdir,SetWorkdir)
(state,State)
(stateCleanup,StateCleanup)
(submoduleCacheAll,SubmoduleCacheAll)
(submoduleCacheClear,SubmoduleCacheClear)
(workdir,Workdir)
(wrapOdb,WrapOdb)
(ext,Ext)
(single,Single)
(lines,Lines)
(oldStart,OldStart)
(oldLines,OldLines)
(newStart,NewStart)
(newLines,NewLines)
(headerLen,HeaderLen)
(header,Header)
(toBuffer,ToBuffer)
(similarity,Similarity)
(nfiles,Nfiles)
(aheadBehind,AheadBehind)
(descendantOf,DescendantOf)
(hunks,Hunks)
(isUnmodified,IsUnmodified)
