(callback,callback)
(callback_cancel,callback_cancel)
(pigpio_start,pigpio_start)
(pigpio_stop,pigpio_stop)
(set_mode,set_mode)
(get_mode,get_mode)
(set_pull_up_down,set_pull_up_down)
(gpio_read,gpio_read)
(gpio_write,gpio_write)
(set_watchdog,set_watchdog)
(set_glitch_filter,set_glitch_filter)
(set_noise_filter,set_noise_filter)
(spi_open,spi_open)
(spi_close,spi_close)
(spi_xfer,spi_xfer)
(serial_open,serial_open)
(serial_close,serial_close)
(serial_write_byte,serial_write_byte)
(serial_read_byte,serial_read_byte)
(serial_write,serial_write)
(serial_read,serial_read)
(serial_data_available,serial_data_available)
(get_current_tick,get_current_tick)
(get_hardware_revision,get_hardware_revision)
(get_pigpio_version,get_pigpio_version)
(dht22_get,dht22_get)
