(xmlMemUsed,XmlMemUsed)
(xmlNodeCount,XmlNodeCount)
(addChild,XmlElement)
(cdata,XmlElement)
(_attr,XmlElement)
(attrs,XmlElement)
(child,XmlElement)
(childNodes,XmlElement)
(find,XmlElement)
(nextElement,XmlElement)
(prevElement,XmlElement)
(name,XmlElement)
(path,XmlElement)
(text,XmlElement)
(addPrevSibling,XmlElement)
(addNextSibling,XmlElement)
(replace,XmlElement)
(toString,XmlTextWriter)
(outputMemory,XmlTextWriter)
(clear,XmlTextWriter)
(startDocument,XmlTextWriter)
(endDocument,XmlTextWriter)
(startElementNS,XmlTextWriter)
(endElement,XmlTextWriter)
(startAttributeNS,XmlTextWriter)
(endAttribute,XmlTextWriter)
(startCdata,XmlTextWriter)
(endCdata,XmlTextWriter)
(startComment,XmlTextWriter)
(endComment,XmlTextWriter)
(writeString,XmlTextWriter)
(root,XmlDocument)
(version,XmlDocument)
(encoding,XmlDocument)
(toString,XmlDocument)
(validate,XmlDocument)
(rngValidate,XmlDocument)
(schematronValidate,XmlDocument)
(_setDtd,XmlDocument)
(getDtd,XmlDocument)
(type,XmlDocument)
(fromXml,XmlDocument)
(fromHtml,XmlDocument)
(doc,XmlNode)
(parent,XmlNode)
(namespace,XmlNode)
(namespaces,XmlNode)
(prevSibling,XmlNode)
(nextSibling,XmlNode)
(line,XmlNode)
(type,XmlNode)
(remove,XmlNode)
(clone,XmlNode)
(toString,XmlNode)
(name,XmlProcessingInstruction)
(text,XmlProcessingInstruction)
(nextElement,XmlText)
(prevElement,XmlText)
(text,XmlText)
(replace,XmlText)
(path,XmlText)
(name,XmlText)
(addPrevSibling,XmlText)
(addNextSibling,XmlText)
(href,XmlNamespace)
(prefix,XmlNamespace)
(text,XmlComment)
(name,XmlAttribute)
(value,XmlAttribute)
(node,XmlAttribute)
(namespace,XmlAttribute)
(parseString,XmlSaxParser)
(push,XmlSaxParser)
(0,set)
(1,set)
