(render,render)
(getSupportedOutputFormats,getSupportedOutputFormats)
(65540,_TIFFFax3fillruns)
(0x4000,args)
(0x2D41,args)
(Field,info)
(LsetItems,CXFA_Node)
(LsetItemState,CXFA_Node)
(LsetFocus,CScript_HostPseudoModel)
(LsetInstances,CXFA_Node)
(LsetAttribute,CXFA_Node)
(LsetElement,CXFA_Node)
(259,value)
(254,value)
(0,vColElm)
(1,vColElm)
(2,vColElm)
(3,vColElm)
(0,Upper_Leftx)
(1,Upper_Lefty)
(2,Lower_Rightx)
(3,Lower_Righty)
(Matrix,matrix)
(BBox,rect)
(Rect,rect)
(Rect,noteRect)
(Count,count)
(0,rect)
(1,rect)
(2,rect)
(3,rect)
('C',CPDF_StreamContentParser)
('G',CPDF_StreamContentParser)
('J',CPDF_StreamContentParser)
('K',CPDF_StreamContentParser)
('M',CPDF_StreamContentParser)
('R',CPDF_StreamContentParser)
('S',CPDF_StreamContentParser)
('T',CPDF_StreamContentParser)
('c',CPDF_StreamContentParser)
('d',CPDF_StreamContentParser)
('g',CPDF_StreamContentParser)
('i',CPDF_StreamContentParser)
('j',CPDF_StreamContentParser)
('k',CPDF_StreamContentParser)
('r',CPDF_StreamContentParser)
('s',CPDF_StreamContentParser)
('w',CPDF_StreamContentParser)
(0,CFXJS_PerObjectData)
(BaseFont,fontname)
(0,buf)
(0,pValue)
(0x00010,NULL)
(buttonSetCaption,buttonSetCaption_static)
(buttonSetIcon,buttonSetIcon_static)
(signatureSetSeedValue,signatureSetSeedValue_static)
(Rect,popupRect)
(Matrix,m)
(LexportData,CScript_HostPseudoModel)
