(sessionInit,SessionInit)
(getSessionHandle,GetSessionHandle)
(closeAllATRequests,CloseAllATRequests)
(closeATRequest,CloseATRequest)
(sendATBarHistoryDbRequest,SendATBarHistoryDbRequest)
(sendATLoginRequest,SendATLoginRequest)
(sendATMarketHolidaysRequest,SendATMarketHolidaysRequest)
(sendATMarketMoversDbRequest,SendATMarketMoversDbRequest)
(sendATMarketMoversStreamRequest,SendATMarketMoversStreamRequest)
(sendATQuoteDbRequest,SendATQuoteDbRequest)
(sendATQuoteStreamRequest,SendATQuoteStreamRequest)
(sendATTickHistoryDbRequest,SendATTickHistoryDbRequest)
(sendATSectorListRequest,SendATSectorListRequest)
(sendATConstituentListRequest,SendATConstituentListRequest)
(getMsg,GetMsg)
