(onEvent,onEvent)
(initialize,initialize)
(getVersion,getVersion)
(getErrorDescription,getErrorDescription)
(joinChannel,joinChannel)
(leaveChannel,leaveChannel)
(renewToken,renewToken)
(setChannelProfile,setChannelProfile)
(setClientRole,setClientRole)
(startEchoTest,startEchoTest)
(stopEchoTest,stopEchoTest)
(enableLastmileTest,enableLastmileTest)
(disableLastmileTest,disableLastmileTest)
(enableVideo,enableVideo)
(disableVideo,disableVideo)
(startPreview,startPreview)
(stopPreview,stopPreview)
(setVideoProfile,setVideoProfile)
(setVideoEncoderConfiguration,setVideoEncoderConfiguration)
(enableAudio,enableAudio)
(disableAudio,disableAudio)
(setAudioProfile,setAudioProfile)
(getCallId,getCallId)
(rate,rate)
(complain,complain)
(setEncryptionSecret,setEncryptionSecret)
(createDataStream,createDataStream)
(sendStreamMessage,sendStreamMessage)
(muteLocalAudioStream,muteLocalAudioStream)
(muteAllRemoteAudioStreams,muteAllRemoteAudioStreams)
(setDefaultMuteAllRemoteAudioStreams,setDefaultMuteAllRemoteAudioStreams)
(muteRemoteAudioStream,muteRemoteAudioStream)
(muteLocalVideoStream,muteLocalVideoStream)
(enableLocalVideo,enableLocalVideo)
(enableLocalAudio,enableLocalAudio)
(muteAllRemoteVideoStreams,muteAllRemoteVideoStreams)
(setDefaultMuteAllRemoteVideoStreams,setDefaultMuteAllRemoteVideoStreams)
(muteRemoteVideoStream,muteRemoteVideoStream)
(setRemoteVideoStreamType,setRemoteVideoStreamType)
(setRemoteDefaultVideoStreamType,setRemoteDefaultVideoStreamType)
(enableAudioVolumeIndication,enableAudioVolumeIndication)
(startAudioRecording,startAudioRecording)
(stopAudioRecording,stopAudioRecording)
(startAudioMixing,startAudioMixing)
(stopAudioMixing,stopAudioMixing)
(pauseAudioMixing,pauseAudioMixing)
(resumeAudioMixing,resumeAudioMixing)
(adjustAudioMixingVolume,adjustAudioMixingVolume)
(adjustAudioMixingPlayoutVolume,adjustAudioMixingPlayoutVolume)
(adjustAudioMixingPublishVolume,adjustAudioMixingPublishVolume)
(getAudioMixingPlayoutVolume,getAudioMixingPlayoutVolume)
(getAudioMixingPublishVolume,getAudioMixingPublishVolume)
(getAudioMixingDuration,getAudioMixingDuration)
(getAudioMixingCurrentPosition,getAudioMixingCurrentPosition)
(setAudioMixingPosition,setAudioMixingPosition)
(getEffectsVolume,getEffectsVolume)
(setEffectsVolume,setEffectsVolume)
(setVolumeOfEffect,setVolumeOfEffect)
(playEffect,playEffect)
(stopEffect,stopEffect)
(stopAllEffects,stopAllEffects)
(preloadEffect,preloadEffect)
(unloadEffect,unloadEffect)
(pauseEffect,pauseEffect)
(pauseAllEffects,pauseAllEffects)
(resumeEffect,resumeEffect)
(resumeAllEffects,resumeAllEffects)
(setLocalVoicePitch,setLocalVoicePitch)
(setLocalVoiceEqualization,setLocalVoiceEqualization)
(setLocalVoiceReverb,setLocalVoiceReverb)
(setExternalAudioSink,setExternalAudioSink)
(setLocalPublishFallbackOption,setLocalPublishFallbackOption)
(setRemoteSubscribeFallbackOption,setRemoteSubscribeFallbackOption)
(pauseAudio,pauseAudio)
(resumeAudio,resumeAudio)
(setExternalAudioSource,setExternalAudioSource)
(getScreenWindowsInfo,getScreenWindowsInfo)
(getScreenDisplaysInfo,getScreenDisplaysInfo)
(setLogFile,setLogFile)
(setLogFilter,setLogFilter)
(setLocalVideoMirrorMode,setLocalVideoMirrorMode)
(enableDualStreamMode,enableDualStreamMode)
(setRecordingAudioFrameParameters,setRecordingAudioFrameParameters)
(setPlaybackAudioFrameParameters,setPlaybackAudioFrameParameters)
(setMixedAudioFrameParameters,setMixedAudioFrameParameters)
(adjustRecordingSignalVolume,adjustRecordingSignalVolume)
(adjustPlaybackSignalVolume,adjustPlaybackSignalVolume)
(setHighQualityAudioParameters,setHighQualityAudioParameters)
(enableWebSdkInteroperability,enableWebSdkInteroperability)
(setVideoQualityParameters,setVideoQualityParameters)
(enableLoopbackRecording,enableLoopbackRecording)
(registerDeliverFrame,registerDeliverFrame)
(setupLocalVideo,setupLocalVideo)
(subscribe,subscribe)
(unsubscribe,unsubscribe)
(getVideoDevices,getVideoDevices)
(setVideoDevice,setVideoDevice)
(getCurrentVideoDevice,getCurrentVideoDevice)
(startVideoDeviceTest,startVideoDeviceTest)
(stopVideoDeviceTest,stopVideoDeviceTest)
(getAudioPlaybackDevices,getAudioPlaybackDevices)
(setAudioPlaybackDevice,setAudioPlaybackDevice)
(getPlaybackDeviceInfo,getPlaybackDeviceInfo)
(getCurrentAudioPlaybackDevice,getCurrentAudioPlaybackDevice)
(setAudioPlaybackVolume,setAudioPlaybackVolume)
(getAudioPlaybackVolume,getAudioPlaybackVolume)
(getAudioRecordingDevices,getAudioRecordingDevices)
(setAudioRecordingDevice,setAudioRecordingDevice)
(getRecordingDeviceInfo,getRecordingDeviceInfo)
(getCurrentAudioRecordingDevice,getCurrentAudioRecordingDevice)
(getAudioRecordingVolume,getAudioRecordingVolume)
(setAudioRecordingVolume,setAudioRecordingVolume)
(startAudioPlaybackDeviceTest,startAudioPlaybackDeviceTest)
(stopAudioPlaybackDeviceTest,stopAudioPlaybackDeviceTest)
(startAudioRecordingDeviceTest,startAudioRecordingDeviceTest)
(stopAudioRecordingDeviceTest,stopAudioRecordingDeviceTest)
(getAudioPlaybackDeviceMute,getAudioPlaybackDeviceMute)
(setAudioPlaybackDeviceMute,setAudioPlaybackDeviceMute)
(getAudioRecordingDeviceMute,getAudioRecordingDeviceMute)
(setAudioRecordingDeviceMute,setAudioRecordingDeviceMute)
(setEncryptionMode,setEncryptionMode)
(addPublishStreamUrl,addPublishStreamUrl)
(removePublishStreamUrl,removePublishStreamUrl)
(addVideoWatermark,addVideoWatermark)
(clearVideoWatermarks,clearVideoWatermarks)
(setLiveTranscoding,setLiveTranscoding)
(addInjectStreamUrl,addInjectStreamUrl)
(removeInjectStreamUrl,removeInjectStreamUrl)
(startScreenCapture2,startScreenCapture2)
(stopScreenCapture2,stopScreenCapture2)
(videoSourceInitialize,videoSourceInitialize)
(videoSourceJoin,videoSourceJoin)
(videoSourceLeave,videoSourceLeave)
(videoSourceRenewToken,videoSourceRenewToken)
(videoSourceSetChannelProfile,videoSourceSetChannelProfile)
(videoSourceSetVideoProfile,videoSourceSetVideoProfile)
(videoSourceRelease,videoSourceRelease)
(videoSourceStartPreview,videoSourceStartPreview)
(videoSourceStopPreview,videoSourceStopPreview)
(videoSourceEnableWebSdkInteroperability,videoSourceEnableWebSdkInteroperability)
(videoSourceEnableDualStreamMode,videoSourceEnableDualStreamMode)
(videoSourceSetLogFile,videoSourceSetLogFile)
(videoSourceSetParameter,videoSourceSetParameter)
(videoSourceUpdateScreenCaptureRegion,videoSourceUpdateScreenCaptureRegion)
(videoSourceEnableLoopbackRecording,videoSourceEnableLoopbackRecording)
(videoSourceEnableAudio,videoSourceEnableAudio)
(videoSourceEnableEncryption,videoSourceEnableEncryption)
(videoSourceSetEncryptionMode,videoSourceSetEncryptionMode)
(videoSourceSetEncryptionSecret,videoSourceSetEncryptionSecret)
(setBool,setBool)
(setInt,setInt)
(setUInt,setUInt)
(setNumber,setNumber)
(setString,setString)
(setObject,setObject)
(getBool,getBool)
(getInt,getInt)
(getUInt,getUInt)
(getNumber,getNumber)
(getString,getString)
(getObject,getObject)
(getArray,getArray)
(setParameters,setParameters)
