(loadImage,loadImage)
(loadTextureFromImage,LoadTextureFromImage)
(loadTextureFromVideo,LoadTextureFromVideo)
(loadTextureFromBuffer,LoadTextureFromBuffer)
(loadTextureFromFont,LoadTextureFromFont)
(destroy,Destroy)
(getMediaTime,GetMediaTime)
(getDuration,GetDuration)
(getState,GetState)
(stop,StopPlayback)
(pause,PausePlayback)
(play,ResumePlayback)
(h,h)
(hasReference,HasReference)
(getReference,GetReference)
(_start,Start)
(stop,Stop)
(Font,AminoFont)
(FontSize,AminoFontSize)
(_calcTextWidth,CalcTextWidth)
(getFontMetrics,GetFontMetrics)
(size,size)
(_destroy,Destroy)
(_setRoot,SetRoot)
(Group,AminoGroup)
(Rect,AminoRect)
(ImageView,AminoRect)
(Polygon,AminoPolygon)
(Model,AminoModel)
(Text,AminoText)
(Texture,AminoTexture)
(Anim,AminoAnim)
(clearAnimations,ClearAnimations)
(getTime,GetTime)
(updatePerspective,UpdatePerspective)
(_getStats,GetStats)
(_add,Add)
(_insert,Insert)
(_remove,Remove)
(keycode,key)
