(_doEvents,_DoEvents)
(_gforToggle,_GforToggle)
(convolveSeparable,ConvolveSeparable)
(convolve,Convolve)
(convolve1,Convolve1)
(convolve2,Convolve2)
(convolve3,Convolve3)
(fftConvolve,FFTConvolve)
(fftConvolve2,FFTConvolve2)
(fftConvolve3,FFTConvolve3)
(fftNorm,FFTNorm)
(iFFTNorm,IFFTNorm)
(fft,FFT)
(iFFT,IFFT)
(dFT,DFT)
(iDFT,IDFT)
(fft2,FFT2)
(iFFT2,IFFT2)
(fft3,FFT3)
(iFFT3,IFFT3)
(fft2Norm,FFT2Norm)
(iFFT2Norm,IFFT2Norm)
(fft3Norm,FFT3Norm)
(iFFT3Norm,IFFT3Norm)
(fir,FIR)
(iir,IIR)
(approx1,Approx1)
(approx2,Approx2)
(allTrue,AllTrue)
(anyTrue,AnyTrue)
(count,Count)
(findMax,FindMax)
(findMaxAt,FindMaxAt)
(findMin,FindMin)
(findMinAt,FindMinAt)
(product,Product)
(sum,Sum)
(sort,Sort)
(sortByKey,SortByKey)
(sortIndex,SortIndex)
(accum,Accum)
(where,Where)
(setIntersect,SetIntersect)
(setUnion,SetUnion)
(setUnique,SetUnique)
(diff1,Diff1)
(diff2,Diff2)
(grad,Grad)
(iszero,IsZero)
(isZero,IsZero)
(isInf,IsInf)
(isNaN,IsNaN)
(print,Print)
(randu,RandU)
(randU,RandU)
(randn,RandN)
(randN,RandN)
(identity,Identity)
(range,Range)
(iota,Iota)
(diag,Diag)
(constant,Constant)
(lower,Lower)
(upper,Upper)
(getSeed,GetSeed)
(setSeed,SetSeed)
(lookup,Lookup)
(join,Join)
(tile,Tile)
(reorder,Reorder)
(shift,Shift)
(moddims,ModDims)
(modDims,ModDims)
(flat,Flat)
(flip,Flip)
(cov,Cov)
(mean,Mean)
(weightedMean,Mean)
(median,Median)
(stdev,StDev)
(stDev,StDev)
(stdDev,StDev)
(var,Var)
(weightedVar,WeightedVar)
(corrcoef,CorrCoef)
(corrCoef,CorrCoef)
(loadImage,LoadImage)
(saveImage,SaveImage)
(colorSpace,ColorSpace)
(gray2rgb,Gray2RGB)
(rgb2gray,RGB2Gray)
(hsv2rgb,HSV2RGB)
(rgb2hsv,RGB2HSV)
(regions,Regions)
(bilateral,Bilateral)
(maxfilt,MaxFilt)
(maxFilt,MaxFilt)
(minfilt,MinFilt)
(minFilt,MinFilt)
(medfilt,MedFilt)
(medFilt,MedFilt)
(meanShift,MeanShift)
(sobel,Sobel)
(histEqual,HistEqual)
(histogram,Histogram)
(resize,Resize)
(rotate,Rotate)
(scale,Scale)
(skew,Skew)
(transform,Transform)
(translate,Translate)
(dilate,Dilate)
(dilate3,Dilate3)
(erode,Erode)
(erode3,Erode3)
(gaussianKernel,GaussianKernel)
(orb,Orb)
(fast,Fast)
(hammingMatcher,HammingMatcher)
(matchTemplate,MatchTemplate)
(dot,Dot)
(matMul,MatMul)
(matMulNT,MatMulNT)
(matMulTN,MatMulTN)
(matMulTT,MatMulTT)
(transpose,Transpose)
(transposeInPlace,TransposeInPlace)
(solve,Solve)
(solveLU,SolveLU)
(cholesky,Cholesky)
(choleskyInPlace,CholeskyInPlace)
(luPacked,LuPacked)
(lu,Lu)
(luInPlace,LuInPlace)
(qrPacked,QrPacked)
(qr,Qr)
(qrInPlace,QrInPlace)
(det,Det)
(inverse,Inverse)
(norm,Norm)
(rank,Rank)
(abs,Abs)
(arg,Arg)
(ceil,Ceil)
(floor,Floor)
(hypot,Hypot)
(max,Max)
(min,Min)
(round,Round)
(sign,Sign)
(trunc,Trunc)
(rem,Rem)
(acos,ACos)
(aCos,ACos)
(asin,ASin)
(aSin,ASin)
(atan,ATan)
(aTan,ATan)
(atan2,ATan2)
(aTan2,ATan2)
(cos,Cos)
(sin,Sin)
(tan,Tan)
(cbrt,Cbrt)
(erf,Erf)
(erfc,Erfc)
(exp,Exp)
(expm1,ExpM1)
(expM1,ExpM1)
(factorial,Factorial)
(lgamma,LGamma)
(lGamma,LGamma)
(tgamma,TGamma)
(tGamma,TGamma)
(log,Log)
(log10,Log10)
(log1p,Log1P)
(log1P,Log1P)
(pow,Pow)
(pow2,Pow2)
(root,Root)
(sqrt,Sqrt)
(acosh,ACosH)
(aCosH,ACosH)
(asinh,ASinH)
(aSinH,ASinH)
(atanh,ATanH)
(aTanH,ATanH)
(complex,Complex)
(conjg,Conjg)
(imag,Imag)
(real,Real)
(sigmoid,Sigmoid)
(getDeviceCount,GetDeviceCount)
(getDevice,GetDevice)
(setDevice,SetDevice)
(deviceInfo,DeviceInfo)
(isDoubleAvailable,IsDoubleAvailable)
(sync,Sync)
(wait,Sync)
(alloc,Alloc)
(pinned,Pinned)
(create,Create)
(0,dims)
(1,dims)
(2,dims)
(3,dims)
