(hello,Method)
(contract,contract)
(scalarProduct,scalarProduct)
(subTensor,subTensor)
(addScale,addScale)
(multiplyScale,multiplyScale)
(divideScale,divideScale)
(scale,scale)
(fillNormal,fillNormal)
(fillUniform,fillUniform)
(sum,sum)
(exp,exp)
(abs,abs)
(sqrt,sqrt)
(sin,sin)
(cos,cos)
(tan,tan)
(sinh,sinh)
(cosh,cosh)
(tanh,tanh)
(log,log)
(atan,atan)
(acos,acos)
(asin,asin)
(atanh,atanh)
(acosh,acosh)
(asinh,asinh)
(erf,erf)
(floor,floor)
(ceil,ceil)
(round,round)
(sign,sign)
(max,max)
(min,min)
(pow,pow)
(fmod,fmod)
