(coreType,GetCoreType)
(upgradeType,GetUpgradeType)
(languageId,GetLanguageId)
(customerId,GetCustomerId)
(hwVersion,GetHWVersion)
(swVersion,GetSWVersion)
(isEncrypted,GetIsEncrypted)
(cellCount,GetCellCount)
(getDefaultChargeProfile,GetDefaultChargeProfile)
(setCycleTime,SetCycleTime)
(setTimeLimit,SetTimeLimit)
(setCapacityLimit,SetCapacityLimit)
(setTempLimit,SetTempLimit)
(setBuzzers,SetBuzzers)
(stopCharging,StopCharging)
(startCharging,StartCharging)
(getSysInfo,GetSysInfo)
(getChargeInfo,GetChargeInfo)
(_listen,Listen)
