(checkKey,checkKey)
(checkSignature,checkSignature)
(derivePublicKey,derivePublicKey)
(deriveSecretKey,deriveSecretKey)
(generateKeys,generate_keys)
(generateKeyDerivation,generateKeyDerivation)
(generateKeyImage,generateKeyImage)
(generateSignature,generateSignature)
(generateRingSignatures,generateRingSignatures)
(cnFastHash,cn_fast_hash)
(cn_bytech_lite_slow_hash_v0,cn_bytech_lite_slow_hash_v0)
(cn_bytech_lite_slow_hash_v1,cn_bytech_lite_slow_hash_v1)
(cn_bytech_lite_slow_hash_v2,cn_bytech_lite_slow_hash_v2)
(secretKeyToPublicKey,secretKeyToPublicKey)
(underivePublicKey,underivePublicKey)
(scReduce32,scReduce32)
(hashToScalar,hashToScalar)
