(exports,CreateObject)
(on,On)
(onInitializeOnServer,OnInitializeOnServer)
(onInitializeOnSlave,OnInitializeOnSlave)
(onOpen,OnOpen)
(onClose,OnClose)
(onSend,OnSend)
(onBroadcast,OnBroadcast)
(onReply,OnReply)
(onReceive,OnReceive)
(off,Off)
(offInitializeOnServer,OffInitializeOnServer)
(offInitializeOnSlave,OffInitializeOnSlave)
(offOpen,OffOpen)
(offClose,OffClose)
(offSend,OffSend)
(offBroadcast,OffBroadcast)
(offReply,OffReply)
(offReceive,OffReceive)
(initializeOnServer,InitializeOnServer)
(initializeOnSlave,InitializeOnSlave)
(send,Send)
(broadcast,Broadcast)
(receive,Receive)
(reply,Reply)
(open,Open)
(close,Close)
(isChmpxExit,IsChmpxExit)
