(clear,Clear)
(equals,Equals)
(get,Get)
(has,Has)
(isEmpty,IsEmpty)
(removeAt,RemoveAt)
(removeLast,RemoveLast)
(removeRange,RemoveRange)
(size,Size)
(toArray,ToArray)
(toString,ToString)
(each,Each)
(filter,Filter)
(find,Find)
(reduce,Reduce)
(reduceRight,ReduceRight)
(add,Add)
(addAll,AddAll)
(index,Index)
(remove,Remove)
(getAt,GetAt)
(keys,Keys)
(set,Set)
(setAll,SetAll)
(toObject,ToObject)
(key,GetKey)
(value,GetValue)
(reverse,Reverse)
(map,Map)
(isFirst,IsFirst)
(isLast,IsLast)
(insertBefore,InsertBefore)
(insertAfter,InsertAfter)
