(strError,StrError)
(on,On)
(shutdown,Shutdown)
(setMulti,SetMulti)
(addMulti,AddMulti)
(replaceMulti,ReplaceMulti)
(appendMulti,AppendMulti)
(prependMulti,PrependMulti)
(getMulti,GetMulti)
(getReplicaMulti,GetReplicaMulti)
(touchMulti,TouchMulti)
(lockMulti,LockMulti)
(unlockMulti,UnlockMulti)
(arithmeticMulti,ArithmeticMulti)
(removeMulti,RemoveMulti)
(deleteMulti,RemoveMulti)
(observeMulti,ObserveMulti)
(endureMulti,EndureMulti)
(stats,Stats)
(httpRequest,HttpRequest)
(_control,_Control)
(_connect,Connect)
(setMulti,SetMulti)
(1,ri)
(create,SetHandler)
(cp,SetHandler)
(0,Integer)
(1,Integer)
(1,String)
(2,String)
(3,String)
(1,ri)
(create,SetHandler)
(cp,SetHandler)
(0,Integer)
(1,Integer)
(1,String)
(2,String)
(3,String)
