(color_pair,node_color_pair)
(addch,node_addch)
(box,node_box)
(cbreak,node_cbreak)
(delwin,node_delwin)
(derwin,node_derwin)
(doupdate,node_doupdate)
(dupwin,node_dupwin)
(echo,node_echo)
(endwin,node_endwin)
(getmaxyx,node_getmaxyx)
(has_colors,node_has_colors)
(init_color,node_init_color)
(init_pair,node_init_pair)
(initscr,node_initscr)
(keyname,node_keyname)
(keypad,node_keypad)
(killchar,node_killchar)
(leaveok,node_leaveok)
(longname,node_longname)
(meta,node_meta)
(newpad,node_newpad)
(newwin,node_newwin)
(nocbreak,node_nocbreak)
(nodelay,node_nodelay)
(noecho,node_noecho)
(scrollok,node_scrollok)
(start_color,node_start_color)
(subpad,node_subpad)
(subwin,node_subwin)
(waddchnstr,node_waddchnstr)
(waddchstr,node_waddchstr)
(waddch,node_waddch)
(waddnstr,node_waddnstr)
(waddstr,node_waddstr)
(wattroff,node_wattroff)
(wattron,node_wattron)
(wattrset,node_wattrset)
(wbkgd,node_wbkgd)
(wclear,node_wclear)
(wdelch,node_wdelch)
(wdeleteln,node_wdeleteln)
(wechochar,node_wechochar)
(werase,node_werase)
(wgetch,node_wgetch)
(wmove,node_wmove)
(wnoutrefresh,node_wnoutrefresh)
(wrefresh,node_wrefresh)
(wscrl,node_wscrl)
(assume_default_colors,node_assume_default_colors)
(curses_version,node_curses_version)
(has_key,node_has_key)
(use_default_colors,node_use_default_colors)
(wresize,node_wresize)
